"","sample_type","avg","sd","min","max","index"
"1","Algae",647.196428571429,138.269883612758,298,922,"taxo_q0"
"2","Fish",508.647058823529,160.061479577636,114,920,"taxo_q0"
"3","Seagrass",518.344827586207,150.495912583809,278,885,"taxo_q0"
"4","Sediment",615.387096774194,129.955294215448,328,773,"taxo_q0"
"5","Turf",724.395348837209,151.661926592839,403,943,"taxo_q0"
"6","Water",405.05,134.845391049081,209,761,"taxo_q0"
"7","Algae",432.007255307709,125.904541270359,143.950473063232,687.169127571301,"taxo_q1"
"8","Fish",322.419974940928,135.013464159369,37.3370981680805,715.151704411911,"taxo_q1"
"9","Seagrass",335.200375297617,126.132679953933,178.105746889764,667.479468332696,"taxo_q1"
"10","Sediment",410.75864444049,116.87167877798,161.32248126085,572.259001452437,"taxo_q1"
"11","Turf",506.236017681246,142.400051672904,184.716750941589,718.283505978529,"taxo_q1"
"12","Water",245.681437646523,94.8483100831726,96.8387794823168,500.173643661186,"taxo_q1"
