"","sample_type","region","avg","sd","min","max","index"
"1","Algae","Levantine_Sea",611.5,57.7143348263189,488,674,"taxo_q0"
"2","Algae","Northern_Crete",654.95652173913,149.519966191325,298,922,"taxo_q0"
"3","Fish","Levantine_Sea",509.948717948718,107.50127262844,173,741,"taxo_q0"
"4","Fish","North_Red_Sea",392.487804878049,131.062412985421,128,734,"taxo_q0"
"5","Fish","Northern_Crete",573.191780821918,162.897007128759,114,920,"taxo_q0"
"6","Seagrass","Northern_Crete",518.344827586207,150.495912583809,278,885,"taxo_q0"
"7","Sediment","North_Red_Sea",480.272727272727,116.598534218138,328,710,"taxo_q0"
"8","Sediment","Northern_Crete",689.7,55.930501988017,604,773,"taxo_q0"
"9","Turf","Levantine_Sea",686.833333333333,126.70503804769,523,830,"taxo_q0"
"10","Turf","North_Red_Sea",573.5,130.880303507265,403,761,"taxo_q0"
"11","Turf","Northern_Crete",826.04347826087,66.8168992375089,692,943,"taxo_q0"
"12","Water","Levantine_Sea",287.5,76.442789064764,209,375,"taxo_q0"
"13","Water","North_Red_Sea",325.785714285714,99.7991664613168,224,539,"taxo_q0"
"14","Water","Northern_Crete",495.8,106.344326550473,351,761,"taxo_q0"
"15","Algae","Levantine_Sea",400.973722638004,68.3011606250238,259.386477134548,464.662650973265,"taxo_q1"
"16","Algae","Northern_Crete",438.753675453298,134.837148879133,143.950473063232,687.169127571301,"taxo_q1"
"17","Fish","Levantine_Sea",334.46456780608,91.0092328213814,85.886862468136,502.947253131079,"taxo_q1"
"18","Fish","North_Red_Sea",228.282342325849,100.607945240853,37.3370981680805,494.033410143372,"taxo_q1"
"19","Fish","Northern_Crete",368.85701350911,145.522040801719,54.6767118030398,715.151704411911,"taxo_q1"
"20","Seagrass","Northern_Crete",335.200375297617,126.132679953933,178.105746889764,667.479468332696,"taxo_q1"
"21","Sediment","North_Red_Sea",289.75456418259,102.140355369637,161.32248126085,496.786816306922,"taxo_q1"
"22","Sediment","Northern_Crete",477.310888582336,54.1913137461621,355.847230316984,572.259001452437,"taxo_q1"
"23","Turf","Levantine_Sea",444.839211410061,147.865063305457,184.716750941589,581.906354176602,"taxo_q1"
"24","Turf","North_Red_Sea",376.48218699885,112.15094545498,205.340488223672,547.323145856323,"taxo_q1"
"25","Turf","Northern_Crete",601.233168428231,71.6524300317018,479.950707407921,718.283505978529,"taxo_q1"
"26","Water","Levantine_Sea",130.900100291496,36.8211914514054,96.8387794823168,178.300841220504,"taxo_q1"
"27","Water","North_Red_Sea",198.451550331009,52.2217091192752,135.308840184321,315.847743597486,"taxo_q1"
"28","Water","Northern_Crete",313.176759973891,75.1245667028569,222.906315039582,500.173643661186,"taxo_q1"
