"","comparisons","avg_z","sd_z","avg_pval","sd_pval","num_sign","div_index"
"1","Turf - Water",6.77083691021293,0.337560370435051,4.42100688050795e-11,1.12165118243679e-10,100,"taxo_q0"
"2","Algae - Water",5.23518685457806,0.466932218607513,1.02691275193584e-06,3.70410740554479e-06,100,"taxo_q0"
"3","Seagrass - Turf",-4.49716938179244,0.286901701905995,8.22178133751682e-06,1.56527429410193e-05,100,"taxo_q0"
"4","Sediment - Water",4.48047354774909,0.306386498877583,8.7624288586672e-06,1.34591905447502e-05,100,"taxo_q0"
"5","Fish - Turf",-4.59288681318211,0.573008342558899,2.67966180186041e-05,7.19958301309535e-05,100,"taxo_q0"
"6","Algae - Seagrass",2.96151932615757,0.372405414182891,0.00273865993938904,0.00388071283156047,100,"taxo_q0"
"7","Seagrass - Sediment",-2.2068060193286,0.168060127182662,0.0147236257615912,0.0060029622368895,100,"taxo_q0"
"8","Algae - Fish",3.05723675754724,0.68310449018463,0.00544556635622562,0.0104232581468407,99,"taxo_q0"
"9","Seagrass - Water",2.27366752842049,0.300545517792166,0.0146046150272049,0.0109059958178959,99,"taxo_q0"
"10","Sediment - Turf",-2.29036336246383,0.332721136026174,0.0148069546841209,0.013081003807182,96,"taxo_q0"
"11","Fish - Sediment",-2.30252345071828,0.616817262485931,0.0254806892733834,0.0405257684432683,85,"taxo_q0"
"12","Fish - Water",2.17795009703082,0.614005493798432,0.0311410806029328,0.043565973208012,81,"taxo_q0"
"13","Algae - Turf",-1.53565005563487,0.429867651817271,0.0789724978898292,0.0634125392022625,41,"taxo_q0"
"14","Algae - Sediment",0.754713306828962,0.436445392822661,0.234354669954003,0.106915114109622,2,"taxo_q0"
"15","Fish - Seagrass",-0.0957174313896715,0.564227994370617,0.329983974131422,0.108531741470237,0,"taxo_q0"
"16","Turf - Water",6.48805994413025,0.416123856629931,3.80696563388448e-10,8.50350609282591e-10,100,"taxo_q1"
"17","Algae - Water",4.88413511977137,0.466964473616219,3.1973504468261e-06,6.58974289879038e-06,100,"taxo_q1"
"18","Sediment - Water",4.34187340032234,0.329804130584429,1.59193188628175e-05,1.92621088809439e-05,100,"taxo_q1"
"19","Seagrass - Turf",-4.26998195090445,0.333249397732998,2.29552006447941e-05,3.4604610771046e-05,100,"taxo_q1"
"20","Fish - Turf",-4.3715631613401,0.627757351199963,6.53413547004969e-05,0.000177121594756806,100,"taxo_q1"
"21","Algae - Seagrass",2.66605712654557,0.407775368872217,0.00672329890976565,0.00791310785198489,100,"taxo_q1"
"22","Seagrass - Sediment",-2.12379540709654,0.170051637721129,0.0180367495583313,0.00660063019461664,100,"taxo_q1"
"23","Seagrass - Water",2.21807799322581,0.266106874435193,0.015955185344445,0.0104787534135688,99,"taxo_q1"
"24","Algae - Fish",2.76763833698122,0.652948209571589,0.00996876903857622,0.019644064927156,95,"taxo_q1"
"25","Sediment - Turf",-2.14618654380791,0.375963718118627,0.0218382214637342,0.019332611481668,94,"taxo_q1"
"26","Fish - Sediment",-2.22537661753219,0.590252466292353,0.0277222309418479,0.0399115340136183,79,"taxo_q1"
"27","Fish - Water",2.11649678279015,0.614530254256293,0.0363171535040462,0.0502507631502119,79,"taxo_q1"
"28","Algae - Turf",-1.60392482435888,0.542963091575039,0.0791218968043515,0.0754443591135888,46,"taxo_q1"
"29","Algae - Sediment",0.542261719449031,0.432353867449151,0.28827428671411,0.109846338971421,1,"taxo_q1"
"30","Fish - Seagrass",-0.101581210435652,0.57376060329816,0.320990333969723,0.10270031749901,0,"taxo_q1"
