"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea_Autumn","Levantine_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Patescibacteria","Parcubacteria",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Patescibacteria","Gracilibacteria",NA,NA,NA,NA,NA,"0","0.000833333333333333","0.001","0.00374324324324324"
"Bacteria","Patescibacteria","Saccharimonadia",NA,NA,NA,NA,NA,"0","0.002","5.55555555555556e-05","0.00245945945945946"
"Bacteria","Epsilonbacteraeota","Campylobacteria",NA,NA,NA,NA,NA,"0","0","0.000444444444444444","0"
"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA,"0.176","0.0963888888888889","0.167555555555556","0.140486486486486"
"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA,"0.3625","0.491666666666667","0.356944444444444","0.394756756756757"
"Bacteria","Deinococcus-Thermus","Deinococci",NA,NA,NA,NA,NA,"0","0.000111111111111111","5e-04","0.00197297297297297"
"Bacteria","Calditrichaeota","Calditrichia",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA,NA,NA,"0.293","0.269722222222222","0.309666666666667","0.32377027027027"
"Bacteria","Bacteroidetes","Rhodothermia",NA,NA,NA,NA,NA,"0","0","0","0.000108108108108108"
"Bacteria","Bacteroidetes","Ignavibacteria",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Kiritimatiellaeota","Kiritimatiellae",NA,NA,NA,NA,NA,"0","5.55555555555556e-05","0","5.40540540540541e-05"
"Bacteria","Latescibacteria","Latescibacteria",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Spirochaetes","Spirochaetia",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Spirochaetes","Brachyspirae",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Spirochaetes","Leptospirae",NA,NA,NA,NA,NA,"0","0","0","0.000554054054054054"
"Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA,NA,"0.011","0.00472222222222222","0.0122777777777778","0.00704054054054054"
"Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)",NA,NA,NA,NA,NA,"0","0","0.000611111111111111","5.40540540540541e-05"
"Bacteria","Acidobacteria","Acidobacteriia",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Acidobacteria","Thermoanaerobaculia",NA,NA,NA,NA,NA,"0","0.000388888888888889","0.00227777777777778","0.000310810810810811"
"Bacteria","Actinobacteria","Acidimicrobiia",NA,NA,NA,NA,NA,"0.0265","0.0248333333333333","0.0369444444444444","0.0296351351351351"
"Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA,NA,NA,"0","0","0.000222222222222222","0.000459459459459459"
"Bacteria","Actinobacteria","Thermoleophilia",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Chlamydiae","Chlamydiae",NA,NA,NA,NA,NA,"0","0","0","1.35135135135135e-05"
"Bacteria","Planctomycetes","Planctomycetacia",NA,NA,NA,NA,NA,"0.018","0.00838888888888889","0.0440555555555556","0.021972972972973"
"Bacteria","Planctomycetes","Phycisphaerae",NA,NA,NA,NA,NA,"0","0.000333333333333333","0","2.7027027027027e-05"
"Bacteria","Chloroflexi","Anaerolineae",NA,NA,NA,NA,NA,"0.0025","0.00394444444444444","0.0055","0.014472972972973"
"Bacteria","Verrucomicrobia","Verrucomicrobiae",NA,NA,NA,NA,NA,"0.055","0.0742777777777778","0.0287777777777778","0.0457972972972973"
"Bacteria","Chloroflexi","Dehalococcoidia",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Lentisphaerae","Lentisphaeria",NA,NA,NA,NA,NA,"0","0","0","2.7027027027027e-05"
"Bacteria","Dadabacteria","Dadabacteriia",NA,NA,NA,NA,NA,"0.018","0.000333333333333333","0.00194444444444444","0.000554054054054054"
"Bacteria","Deferribacteres","Deferribacteres",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Fusobacteria","Fusobacteriia",NA,NA,NA,NA,NA,"0.0015","0.00572222222222222","0.00666666666666667","0.00152702702702703"
"Bacteria","Firmicutes","Bacilli",NA,NA,NA,NA,NA,"0","0.000222222222222222","0.00372222222222222","0.000405405405405405"
"Bacteria","Tenericutes","Mollicutes",NA,NA,NA,NA,NA,"0","0.001","0","5.40540540540541e-05"
"Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA,NA,"0.0345","0.0015","0.00855555555555556","0.00183783783783784"
"Bacteria","Firmicutes","Erysipelotrichia",NA,NA,NA,NA,NA,"0","0.000166666666666667","0","4.05405405405405e-05"
"Bacteria","Cyanobacteria","Melainabacteria",NA,NA,NA,NA,NA,"0","0","0.000944444444444444","0.000135135135135135"
"Bacteria","Cyanobacteria","Oxyphotobacteria",NA,NA,NA,NA,NA,"0.0015","0.0133888888888889","0.0113333333333333","0.00772972972972973"
