"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea_Autumn","Levantine_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22",NA,NA,NA,NA,"0","0.000833333333333333","0.000555555555555556","0.00102702702702703"
"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)",NA,NA,NA,NA,"0","0","0.000444444444444444","0.00271621621621622"
"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA,NA,"0","0.002","5.55555555555556e-05","0.00245945945945946"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales",NA,NA,NA,NA,"0","0","0.000444444444444444","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",NA,NA,NA,NA,"0","0","0","0.000162162162162162"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA,NA,NA,"0","0.000277777777777778","0.018","0.0160540540540541"
"Bacteria","Proteobacteria","Gammaproteobacteria","HOC36",NA,NA,NA,NA,"0.0015","0","0","0.000121621621621622"
"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","KI89A_clade",NA,NA,NA,NA,"0.001","0","0.000388888888888889","0.00104054054054054"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales",NA,NA,NA,NA,"0","0","0.000166666666666667","0.000418918918918919"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales",NA,NA,NA,NA,"0.0465","0.0202222222222222","0.0219444444444444","0.0361756756756757"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales",NA,NA,NA,NA,"0.0115","0.00788888888888889","0.00155555555555556","0.00577027027027027"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,NA,NA,"0","0","0","0.00722972972972973"
"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales",NA,NA,NA,NA,"0.0365","0.0185","0.00566666666666667","0.00851351351351351"
