"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea_Autumn","Levantine_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Patescibacteria",NA,NA,NA,NA,NA,NA,"0","0.00283333333333333","0.00105555555555556","0.0062027027027027"
"Bacteria","Epsilonbacteraeota",NA,NA,NA,NA,NA,NA,"0","0","0.000444444444444444","0"
"Bacteria","Deinococcus-Thermus",NA,NA,NA,NA,NA,NA,"0","0.000111111111111111","5e-04","0.00197297297297297"
"Bacteria","Calditrichaeota",NA,NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA,NA,"0.293","0.269722222222222","0.309666666666667","0.323878378378378"
"Bacteria","Kiritimatiellaeota",NA,NA,NA,NA,NA,NA,"0","5.55555555555556e-05","0","5.40540540540541e-05"
"Bacteria","Latescibacteria",NA,NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Spirochaetes",NA,NA,NA,NA,NA,NA,"0","0","0","0.000554054054054054"
"Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA,"0.5495","0.592777777777778","0.536777777777778","0.542283783783784"
"Bacteria","Acidobacteria",NA,NA,NA,NA,NA,NA,"0","0.000388888888888889","0.00288888888888889","0.000364864864864865"
"Bacteria","Actinobacteria",NA,NA,NA,NA,NA,NA,"0.0265","0.0248333333333333","0.0371666666666667","0.0300945945945946"
"Bacteria","Chlamydiae",NA,NA,NA,NA,NA,NA,"0","0","0","1.35135135135135e-05"
"Bacteria","Planctomycetes",NA,NA,NA,NA,NA,NA,"0.018","0.00872222222222222","0.0440555555555556","0.022"
"Bacteria","Chloroflexi",NA,NA,NA,NA,NA,NA,"0.0025","0.00394444444444444","0.0055","0.014472972972973"
"Bacteria","Verrucomicrobia",NA,NA,NA,NA,NA,NA,"0.055","0.0742777777777778","0.0287777777777778","0.0457972972972973"
"Bacteria","Lentisphaerae",NA,NA,NA,NA,NA,NA,"0","0","0","2.7027027027027e-05"
"Bacteria","Dadabacteria",NA,NA,NA,NA,NA,NA,"0.018","0.000333333333333333","0.00194444444444444","0.000554054054054054"
"Bacteria","Deferribacteres",NA,NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Fusobacteria",NA,NA,NA,NA,NA,NA,"0.0015","0.00572222222222222","0.00666666666666667","0.00152702702702703"
"Bacteria","Tenericutes",NA,NA,NA,NA,NA,NA,"0","0.001","0","5.40540540540541e-05"
"Bacteria","Firmicutes",NA,NA,NA,NA,NA,NA,"0.0345","0.00188888888888889","0.0122777777777778","0.00228378378378378"
"Bacteria","Cyanobacteria",NA,NA,NA,NA,NA,NA,"0.0015","0.0133888888888889","0.0122777777777778","0.00786486486486486"
