"Class","unique","Levantine_Sea_Autumn","Levantine_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Acidimicrobiia","Acidimicrobiia","2.65","2.48","3.69","2.96"
"Actinobacteria","Actinobacteria","0","0","0.02","0.05"
"Alphaproteobacteria","Alphaproteobacteria","36.25","49.17","35.69","39.48"
"Anaerolineae","Anaerolineae","0.25","0.39","0.55","1.45"
"Bacilli","Bacilli","0","0.02","0.37","0.04"
"Bacteroidia","Bacteroidia","29.3","26.97","30.97","32.38"
"Clostridia","Clostridia","3.45","0.15","0.86","0.18"
"Dadabacteriia","Dadabacteriia","1.8","0.03","0.19","0.06"
"Deinococci","Deinococci","0","0.01","0.05","0.2"
"Deltaproteobacteria","Deltaproteobacteria","1.1","0.47","1.23","0.7"
"Fusobacteriia","Fusobacteriia","0.15","0.57","0.67","0.15"
"Gammaproteobacteria","Gammaproteobacteria","17.6","9.64","16.76","14.05"
"Gracilibacteria","Gracilibacteria","0","0.08","0.1","0.37"
"Melainabacteria","Melainabacteria","0","0","0.09","0.01"
"Mollicutes","Mollicutes","0","0.1","0","0.01"
"Other","Other","0","0.06","0.11","0.09"
"Oxyphotobacteria","Oxyphotobacteria","0.15","1.34","1.13","0.77"
"Planctomycetacia","Planctomycetacia","1.8","0.84","4.41","2.2"
"Saccharimonadia","Saccharimonadia","0","0.2","0.01","0.25"
"Thermoanaerobaculia","Thermoanaerobaculia","0","0.04","0.23","0.03"
"Verrucomicrobiae","Verrucomicrobiae","5.5","7.43","2.88","4.58"
