"Family","unique","Levantine_Sea_Autumn","Levantine_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Blattabacteriaceae","Blattabacteriaceae","3.21","0","0","0"
"Burkholderiaceae","Burkholderiaceae","0","0.03","1.82","1.04"
"Cyclobacteriaceae","Cyclobacteriaceae","3.37","3.28","1.45","1.16"
"Flavobacteriaceae","Flavobacteriaceae","21.82","18.41","16.66","20.58"
"Halieaceae","Halieaceae","4.82","2.05","1.83","2.89"
"Hyphomicrobiaceae","Hyphomicrobiaceae","0.62","0.11","0.74","1.01"
"Hyphomonadaceae","Hyphomonadaceae","0.67","0.87","1.52","3.55"
"Lachnospiraceae","Lachnospiraceae","1.71","0.05","0.47","0.02"
"Microtrichaceae","Microtrichaceae","2.38","2.34","3.55","2.72"
"Moraxellaceae","Moraxellaceae","0","0","4.89","0.03"
"Other","Other","6.74","4.87","10.22","11.72"
"Pirellulaceae","Pirellulaceae","1.87","0.83","4.43","2.15"
"Rhizobiaceae","Rhizobiaceae","0.88","1.8","0.77","0.9"
"Rhodobacteraceae","Rhodobacteraceae","33.8","43.09","29.97","27.44"
"Rubritaleaceae","Rubritaleaceae","5.34","7.37","2.11","3.93"
"Saprospiraceae","Saprospiraceae","1.45","5.17","12.7","10.93"
"Sphingomonadaceae","Sphingomonadaceae","1.45","3.68","2.64","4.92"
"Tenderiaceae","Tenderiaceae","0.93","0.36","0.56","0.77"
"Thiohalorhabdaceae","Thiohalorhabdaceae","0.98","2.17","1.79","2.36"
"Unknown_Family","Unknown_Family","4.15","1.65","1.31","1"
"Vibrionaceae","Vibrionaceae","3.78","1.87","0.58","0.87"
