"Genus","unique","Levantine_Sea_Autumn","Levantine_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Actibacter","Actibacter","2.28","3.97","3.39","3.5"
"Actibacterium","Actibacterium","4.06","2.36","1.4","2.13"
"Croceitalea","Croceitalea","0","1.48","1.84","4.61"
"Erythrobacter","Erythrobacter","1.52","3.24","0.74","2.31"
"Granulosicoccus","Granulosicoccus","0","2.18","2.41","3.12"
"Limimaricola","Limimaricola","1.77","3.99","0.16","0.05"
"Lutimonas","Lutimonas","3.49","1.69","2.04","3.52"
"Maritimibacter","Maritimibacter","0.44","0.43","3.37","1.23"
"Moraxella","Moraxella","0","0","6.47","0.01"
"Muricauda","Muricauda","4.37","0.76","0.46","0.07"
"Other","Other","37.2","43.62","63.21","62.27"
"Parahaliea","Parahaliea","2.6","1.19","0.66","1.6"
"Pseudoruegeria","Pseudoruegeria","7.41","9.43","2.28","2.45"
"Robiginitalea","Robiginitalea","3.74","2.29","0.89","0.27"
"Rubritalea","Rubritalea","6.27","2.92","0.27","0.77"
"Ruegeria","Ruegeria","10.33","3.56","2.09","1.73"
"Sulfitobacter","Sulfitobacter","1.9","3.28","3.42","2.02"
"Sva0996_marine_group","Sva0996_marine_group","2.03","2.04","1.4","1.06"
"Tateyamaria","Tateyamaria","1.01","2.09","1.47","2.01"
"Vibrio","Vibrio","4.31","2.07","0.37","0.98"
"Winogradskyella","Winogradskyella","5.26","7.41","1.65","4.32"
