"Order","unique","Levantine_Sea_Autumn","Levantine_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Alteromonadales","Alteromonadales","1.15","0.79","0.16","0.58"
"Betaproteobacteriales","Betaproteobacteriales","0","0.03","1.8","1.61"
"Caulobacterales","Caulobacterales","0.65","0.86","1.53","4.32"
"Cellvibrionales","Cellvibrionales","4.65","2.02","2.19","3.62"
"Chitinophagales","Chitinophagales","1.4","5.22","12.61","10.8"
"Clostridiales","Clostridiales","3.45","0.15","0.86","0.18"
"Cytophagales","Cytophagales","3.25","3.24","1.41","1.14"
"Flavobacteriales","Flavobacteriales","24.65","18.35","16.86","20.39"
"Gammaproteobacteria_Incertae_Sedis","Gammaproteobacteria_Incertae_Sedis","4","1.63","1.27","0.97"
"Microtrichales","Microtrichales","2.65","2.48","3.69","2.95"
"Other","Other","5","4.37","8.61","8.66"
"Pirellulales","Pirellulales","1.8","0.82","4.31","2.1"
"Pseudomonadales","Pseudomonadales","0","0","4.75","0.13"
"Rhizobiales","Rhizobiales","1.6","1.99","1.71","2.1"
"Rhodobacterales","Rhodobacterales","32.6","42.53","29.13","26.79"
"Sphingomonadales","Sphingomonadales","1.4","3.63","2.56","4.8"
"Steroidobacterales","Steroidobacterales","0.75","0.11","0.9","0.38"
"Tenderiales","Tenderiales","0.9","0.36","0.54","0.76"
"Thiohalorhabdales","Thiohalorhabdales","0.95","2.14","1.74","2.3"
"Verrucomicrobiales","Verrucomicrobiales","5.5","7.43","2.81","4.56"
"Vibrionales","Vibrionales","3.65","1.85","0.57","0.85"
