"Phylum","unique","Levantine_Sea_Autumn","Levantine_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Acidobacteria","Acidobacteria","0","0.04","0.29","0.04"
"Actinobacteria","Actinobacteria","2.65","2.48","3.72","3.01"
"Bacteroidetes","Bacteroidetes","29.3","26.97","30.97","32.39"
"Calditrichaeota","Calditrichaeota","0","0","0","0"
"Chlamydiae","Chlamydiae","0","0","0","0"
"Chloroflexi","Chloroflexi","0.25","0.39","0.55","1.45"
"Cyanobacteria","Cyanobacteria","0.15","1.34","1.23","0.79"
"Dadabacteria","Dadabacteria","1.8","0.03","0.19","0.06"
"Deinococcus-Thermus","Deinococcus-Thermus","0","0.01","0.05","0.2"
"Epsilonbacteraeota","Epsilonbacteraeota","0","0","0.04","0"
"Firmicutes","Firmicutes","3.45","0.19","1.23","0.23"
"Fusobacteria","Fusobacteria","0.15","0.57","0.67","0.15"
"Kiritimatiellaeota","Kiritimatiellaeota","0","0.01","0","0.01"
"Lentisphaerae","Lentisphaerae","0","0","0","0"
"Other","Other","0","0","0","0"
"Patescibacteria","Patescibacteria","0","0.28","0.11","0.62"
"Planctomycetes","Planctomycetes","1.8","0.87","4.41","2.2"
"Proteobacteria","Proteobacteria","54.95","59.28","53.68","54.23"
"Spirochaetes","Spirochaetes","0","0","0","0.06"
"Tenericutes","Tenericutes","0","0.1","0","0.01"
"Verrucomicrobia","Verrucomicrobia","5.5","7.43","2.88","4.58"
