"factor","df","Sum_sq","Mean_sq","F-value","p-value","data_type","rank","q","div_facet"
"Groups",1,0.015,0.015,5.39,0.024,"q0","Phylum","","q0"
"Residuals",54,0.152,0.003,NA,NA,"q0","Phylum","","q0"
"Groups",1,0,0,0.137,0.713,"q1","Phylum","","q1"
"Residuals",54,0.042,0.001,NA,NA,"q1","Phylum","","q1"
"Groups",1,0.015,0.015,6.244,0.016,"q0","Family","","q0"
"Residuals",54,0.129,0.002,NA,NA,"q0","Family","","q0"
"Groups",1,0.036,0.036,6.916,0.011,"q1","Family","","q1"
"Residuals",54,0.281,0.005,NA,NA,"q1","Family","","q1"
"Groups",1,0.035,0.035,9.512,0.003,"q0","ASV","","q0"
"Residuals",54,0.199,0.004,NA,NA,"q0","ASV","","q0"
"Groups",1,0.074,0.074,9.085,0.004,"q1","ASV","","q1"
"Residuals",54,0.438,0.008,NA,NA,"q1","ASV","","q1"
