"Index","Species","C_number","Comparison","Factor","R2","F_value","p_value","DF","Sum_sq"
"q1","Siganus_luridus","all_scfa","Northern_Crete_vs_North_Red_Sea","region",0.371799186676886,17.6995165545864,0.001,1,0.0360620875513471
"q1","Siganus_luridus","all_scfa","Northern_Crete_vs_North_Red_Sea","season",0.0190216653855532,0.90552721321575,0.355,1,0.00184497703891533
"q1","Siganus_luridus","C1","Northern_Crete_vs_North_Red_Sea","region",0.361896936364731,16.6002492759397,0.001,1,0.0202351489380394
"q1","Siganus_luridus","C1","Northern_Crete_vs_North_Red_Sea","season",0.00588296982085944,0.269852423980384,0.629,1,0.000328941083941939
"q1","Siganus_luridus","C2","Northern_Crete_vs_North_Red_Sea","region",0.39445380574186,21.4416887591322,0.001,1,0.0321316545210128
"q1","Siganus_luridus","C2","Northern_Crete_vs_North_Red_Sea","season",0.0720452888482572,3.91623211022343,0.073,1,0.00586870831879798
"q1","Siganus_luridus","C3","Northern_Crete_vs_North_Red_Sea","region",0.330921980538089,15.8726584173525,0.001,1,0.0134450627408077
"q1","Siganus_luridus","C3","Northern_Crete_vs_North_Red_Sea","season",0.0644699454222712,3.09229813084383,0.102,1,0.00261935595722423
"q1","Siganus_luridus","C4","Northern_Crete_vs_North_Red_Sea","region",0.39133235207189,18.6267072329737,0.002,1,0.106980759458134
"q1","Siganus_luridus","C4","Northern_Crete_vs_North_Red_Sea","season",-0.000599361433321544,-0.0285285126213254,0.694,1,-0.000163850857173381
"q1","Siganus_luridus","C5","Northern_Crete_vs_North_Red_Sea","region",0.398133968881284,19.9181032204838,0.002,1,0.0897435734253642
"q1","Siganus_luridus","C5","Northern_Crete_vs_North_Red_Sea","season",0.0221981295243778,1.11054235440047,0.362,1,0.00500369127626676
"q1","Siganus_rivulatus","all_scfa","Northern_Crete_vs_Levantine_Sea","region",0.0430912588560764,4.0674064794515,0.036,1,0.00304829201809758
"q1","Siganus_rivulatus","all_scfa","Northern_Crete_vs_Levantine_Sea","season",0.0246117606252505,2.32311696839038,0.121,1,0.00174104529449597
"q1","Siganus_rivulatus","all_scfa","Northern_Crete_vs_North_Red_Sea","region",0.425847502758003,71.7594790951196,0.001,1,0.187797809225394
"q1","Siganus_rivulatus","all_scfa","Northern_Crete_vs_North_Red_Sea","season",0.0875339255008428,14.7503246030798,0.001,1,0.0386022680313772
"q1","Siganus_rivulatus","all_scfa","Levantine_Sea_vs_North_Red_Sea","region",0.347220533085637,46.6173223427305,0.001,1,0.133746893808584
"q1","Siganus_rivulatus","all_scfa","Levantine_Sea_vs_North_Red_Sea","season",0.123949053450588,16.6412191336544,0.001,1,0.047744298824176
"q1","Siganus_rivulatus","C1","Northern_Crete_vs_Levantine_Sea","region",0.0403976902715008,3.81947928660699,0.052,1,0.00192833170896787
"q1","Siganus_rivulatus","C1","Northern_Crete_vs_Levantine_Sea","season",0.0288480165038511,2.72749260553362,0.151,1,0.00137702290876883
"q1","Siganus_rivulatus","C1","Northern_Crete_vs_North_Red_Sea","region",0.420006812998755,80.6094358972661,0.001,1,0.1136169199306
"q1","Siganus_rivulatus","C1","Northern_Crete_vs_North_Red_Sea","season",0.152740989010537,29.3146791468033,0.001,1,0.0413182838502724
"q1","Siganus_rivulatus","C1","Levantine_Sea_vs_North_Red_Sea","region",0.356105838691884,66.013315334927,0.001,1,0.0907829048849255
"q1","Siganus_rivulatus","C1","Levantine_Sea_vs_North_Red_Sea","season",0.260887878123509,48.362233623831,0.001,1,0.0665087646760235
"q1","Siganus_rivulatus","C2","Northern_Crete_vs_Levantine_Sea","region",0.0469981733761618,4.35168753514372,0.025,1,0.00338515145697453
"q1","Siganus_rivulatus","C2","Northern_Crete_vs_Levantine_Sea","season",0.00260287823848507,0.241007510978235,0.682,1,0.000187478287524344
"q1","Siganus_rivulatus","C2","Northern_Crete_vs_North_Red_Sea","region",0.128329797350621,12.8472086984617,0.001,1,0.0449315156974549
