"factor","df","Sum_sq","R2","F-value","p-value","data_type","region","rank","q","div_facet"
"taxonomy",1,0.012,0.022,0.961,0.332,"q0","North_Red_Sea","C1","","q0"
"taxonomy",1,0.009,0.055,2.463,0.151,"q1","North_Red_Sea","C1","","q1"
"taxonomy",1,0.011,0.053,3.938,0.045,"q0","Northern_Crete","C1","","q0"
"taxonomy",1,0,-0.003,-0.207,0.867,"q1","Northern_Crete","C1","","q1"
"taxonomy",1,0.029,0.023,0.979,0.421,"q0","North_Red_Sea","C2","","q0"
"taxonomy",1,0.021,0.071,3.187,0.105,"q1","North_Red_Sea","C2","","q1"
"taxonomy",1,0.001,0.011,0.766,0.444,"q0","Northern_Crete","C2","","q0"
"taxonomy",1,0.009,0.114,9.157,0.002,"q1","Northern_Crete","C2","","q1"
"taxonomy",1,0.049,0.153,7.616,0.004,"q0","North_Red_Sea","C3","","q0"
"taxonomy",1,0.017,0.116,5.508,0.041,"q1","North_Red_Sea","C3","","q1"
"taxonomy",1,0.037,0.252,23.911,0.001,"q0","Northern_Crete","C3","","q0"
"taxonomy",1,0.003,0.074,5.67,0.023,"q1","Northern_Crete","C3","","q1"
"taxonomy",1,0.056,0.171,8.65,0.002,"q0","North_Red_Sea","C4","","q0"
"taxonomy",1,0.045,0.129,6.245,0.018,"q1","North_Red_Sea","C4","","q1"
"taxonomy",1,0.018,0.126,10.247,0.001,"q0","Northern_Crete","C4","","q0"
"taxonomy",1,0.001,0.002,0.153,0.643,"q1","Northern_Crete","C4","","q1"
"taxonomy",1,0.031,0.026,1.135,0.336,"q0","North_Red_Sea","C5","","q0"
"taxonomy",1,0.143,0.222,12.008,0.001,"q1","North_Red_Sea","C5","","q1"
"taxonomy",1,0.021,0.028,2.078,0.164,"q0","Northern_Crete","C5","","q0"
"taxonomy",1,0.017,0.081,6.224,0.016,"q1","Northern_Crete","C5","","q1"
"taxonomy",1,0.027,0.062,2.785,0.047,"q0","North_Red_Sea","all_scfa","","q0"
"taxonomy",1,0.031,0.117,5.542,0.012,"q1","North_Red_Sea","all_scfa","","q1"
"taxonomy",1,0.014,0.107,8.52,0.001,"q0","Northern_Crete","all_scfa","","q0"
"taxonomy",1,0.004,0.05,3.752,0.056,"q1","Northern_Crete","all_scfa","","q1"
