"factor","df","Sum_sq","R2","F-value","p-value","index","species","C_number"
"region",2,0.053,0.047,3.007,0.042,"q0","Siganus_rivulatus","C1"
"season",1,0.035,0.031,3.925,0.027,"q0","Siganus_rivulatus","C1"
"region:season",5,0.097,0.086,2.244,0.034,"q0","Siganus_rivulatus","C1"
"region",2,0.132,0.419,44.033,0.001,"q1","Siganus_rivulatus","C1"
"season",1,0.043,0.137,19.604,0.001,"q1","Siganus_rivulatus","C1"
"region:season",5,0.226,0.716,60.118,0.001,"q1","Siganus_rivulatus","C1"
"region",1,0,0.004,0.117,0.835,"q0","Siganus_luridus","C1"
"season",1,0.026,0.23,8.94,0.008,"q0","Siganus_luridus","C1"
"region:season",3,0.04,0.354,5.112,0.002,"q0","Siganus_luridus","C1"
"region",1,0.02,0.362,17.014,0.001,"q1","Siganus_luridus","C1"
"season",1,-0.001,-0.014,-0.423,0.913,"q1","Siganus_luridus","C1"
"region:season",3,0.027,0.49,8.969,0.001,"q1","Siganus_luridus","C1"
"region",2,0.144,0.09,6.023,0.001,"q0","Siganus_rivulatus","C2"
"season",1,0.046,0.028,3.602,0.015,"q0","Siganus_rivulatus","C2"
"region:season",5,0.284,0.177,5.129,0.001,"q0","Siganus_rivulatus","C2"
"region",2,0.061,0.157,11.323,0.001,"q1","Siganus_rivulatus","C2"
"season",1,0.006,0.014,1.802,0.231,"q1","Siganus_rivulatus","C2"
"region:season",5,0.095,0.245,7.733,0.001,"q1","Siganus_rivulatus","C2"
"region",1,0.001,0.02,0.602,0.514,"q0","Siganus_luridus","C2"
"season",1,0.003,0.067,2.161,0.187,"q0","Siganus_luridus","C2"
"region:season",3,0.006,0.141,1.533,0.265,"q0","Siganus_luridus","C2"
"region",1,0.032,0.394,19.542,0.001,"q1","Siganus_luridus","C2"
"season",1,0.007,0.09,2.958,0.136,"q1","Siganus_luridus","C2"
"region:season",3,0.037,0.451,7.668,0.002,"q1","Siganus_luridus","C2"
"region",2,0.106,0.146,10.464,0.001,"q0","Siganus_rivulatus","C3"
"season",1,0.02,0.028,3.507,0.054,"q0","Siganus_rivulatus","C3"
"region:season",5,0.155,0.213,6.459,0.001,"q0","Siganus_rivulatus","C3"
