"index","species","factor","avg_F","sd_F","avg_p","sd_p","avg_R2","sd_R2","num_signif"
"q0","Siganus_luridus","region",1.78066666666667,1.64673199600502,0.350333333333333,0.326894274447667,0.054,0.0482327689439451,1
"q0","Siganus_luridus","region:season",2.88883333333333,1.67405990533991,0.181666666666667,0.304489518155661,0.223833333333333,0.111820242651618,4
"q0","Siganus_luridus","season",3.52666666666667,3.02241583285071,0.179333333333333,0.196134307724749,0.0995,0.0762017060176477,3
"q1","Siganus_luridus","region",18.047,1.92135077484566,0.00133333333333333,0.000516397779494322,0.374666666666667,0.0255316796679472,6
"q1","Siganus_luridus","region:season",8.48016666666667,1.05509893690908,0.00216666666666667,0.00147196014438797,0.4745,0.0312073709241903,6
"q1","Siganus_luridus","season",1.4475,1.19581449230221,0.364666666666667,0.284068771016222,0.045,0.0367423461417477,0
"q0","Siganus_rivulatus","region",6.81333333333333,3.03611716945619,0.00816666666666667,0.0165941756850609,0.099,0.039934947101505,6
"q0","Siganus_rivulatus","region:season",5.74716666666667,2.22346930868557,0.0065,0.0134721935853075,0.1905,0.0621313125565524,6
"q0","Siganus_rivulatus","season",4.621,1.20219615703927,0.0186666666666667,0.0193666379804722,0.0361666666666667,0.00919601362910401,5
"q1","Siganus_rivulatus","region",37.93,14.573547378727,0.001,0,0.37,0.110377533945998,6
"q1","Siganus_rivulatus","region:season",35.5058333333333,21.9156133148645,0.001,0,0.542166666666667,0.190115140550843,6
"q1","Siganus_rivulatus","season",6.54833333333333,7.43360904720356,0.235833333333333,0.380672781620471,0.0478333333333333,0.0524305890360452,3
