"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae",NA,NA,NA,"0","0.15","1.76","0.61"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,"0","0","0","0"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rs-E47_termite_group",NA,NA,NA,"0","0","0","0"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae",NA,NA,NA,"0","1.74","0.45","0"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA,NA,"10.06","10.78","3.79","3.49"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae",NA,NA,NA,"2.12","12.75","2.93","4.35"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae",NA,NA,NA,"0","0","0","0"
"Bacteria","Spirochaetes","Brachyspirae","Brachyspirales","Brachyspiraceae",NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,NA,NA,"11.29","44.03","74.69","65.98"
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae",NA,NA,NA,"0","0.71","1.24","0.57"
"Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae",NA,NA,NA,"0","0","1.05","0.01"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae",NA,NA,NA,"3.19","7.14","3.29","10.78"
"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae",NA,NA,NA,"0.63","0.01","0.03","0"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI",NA,NA,NA,"0","0.03","0.08","0"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII",NA,NA,NA,"0.65","0.42","0.11","0.02"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,NA,NA,"0.22","0.25","0.06","0.2"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,NA,"63.24","16.9","9.12","10.19"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",NA,NA,NA,"3.34","2.23","0.86","2.58"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,NA,"5.26","2.84","0.55","1.22"
