"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA,NA,"0","0.22","2.72","1.66"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Maritimibacter",NA,NA,"0","0","0","0"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae","Labilibacter",NA,NA,"0","2.57","0.69","0"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group",NA,NA,"0.68","1.51","0.56","0.84"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella",NA,NA,"1.26","3.29","2.24","3.28"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,NA,"11.21","10.08","2.04","5.47"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter",NA,NA,"2.77","19.08","4.54","11.97"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides",NA,NA,"0","0","0","0"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","dgA-11_gut_group",NA,NA,"0","0.89","0","0"
"Bacteria","Spirochaetes","Brachyspirae","Brachyspirales","Brachyspiraceae","Brachyspira",NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",NA,NA,"6.31","36.02","73","34.06"
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,NA,"0","1.06","1.92","1.58"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",NA,NA,"4.17","10.69","5.1","29.64"
"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma",NA,NA,"0.83","0.02","0.05","0"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Sedimentibacter",NA,NA,"0","0.05","0.12","0"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella",NA,NA,"0.29","0.37","0.09","0.55"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Paludicola",NA,NA,"0","0","0","0"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruthenibacterium",NA,NA,"13.87","2.18","4.11","3.85"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA,NA,"0","0","0","0"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella",NA,NA,"0","0.44","0.01","0.04"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Epulopiscium",NA,NA,"0","0","0","0"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Bacteroides",NA,NA,"0","0.2","0.01","0"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Neglecta",NA,NA,"0.06","0.17","0.1","0.59"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium",NA,NA,"1.34","0.9","0.42","0.48"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor",NA,NA,"0","0","0","0"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014",NA,NA,"50.36","6.62","1.5","2.68"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Breznakia",NA,NA,"0","0","0","0"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus",NA,NA,"0","0.36","0","0"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Faecalicatena",NA,NA,"6.88","3.29","0.77","3.31"
