"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales",NA,NA,NA,NA,"0","0.13","1.67","0.56"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,NA,"11.28","22.91","6.83","7.27"
"Bacteria","Spirochaetes","Brachyspirae","Brachyspirales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales",NA,NA,NA,NA,"10.46","39.92","71.07","61.21"
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,NA,NA,"0","0.64","1.18","0.53"
"Bacteria","Deferribacteres","Deferribacteres","Deferribacterales",NA,NA,NA,NA,"0","0","1","0.01"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales",NA,NA,NA,NA,"2.95","6.48","3.13","10"
"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales",NA,NA,NA,NA,"0.59","0.01","0.03","0"
"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39",NA,NA,NA,NA,"7.36","9.35","4.85","7.23"
"Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA,"64.27","18.54","9.42","10.79"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales",NA,NA,NA,NA,"3.09","2.02","0.82","2.39"
