"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","North_Red_Sea","Northern_Crete"
"Bacteria","Epsilonbacteraeota","Campylobacteria",NA,NA,NA,NA,NA,"0.09","1.15"
"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA,"0","0"
"Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA,NA,NA,"18.99","7.04"
"Bacteria","Spirochaetes","Brachyspirae",NA,NA,NA,NA,NA,"0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA,NA,"29.97","66.41"
"Bacteria","Verrucomicrobia","Verrucomicrobiae",NA,NA,NA,NA,NA,"0.42","0.87"
"Bacteria","Deferribacteres","Deferribacteres",NA,NA,NA,NA,NA,"0","0.53"
"Bacteria","Fusobacteria","Fusobacteriia",NA,NA,NA,NA,NA,"5.29","6.38"
"Bacteria","Tenericutes","Mollicutes",NA,NA,NA,NA,NA,"8.88","5.99"
"Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA,NA,"33.98","10.07"
"Bacteria","Firmicutes","Erysipelotrichia",NA,NA,NA,NA,NA,"2.38","1.56"
