"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","North_Red_Sea","Northern_Crete"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae",NA,NA,NA,"0.1","1.22"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,"0","0"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rs-E47_termite_group",NA,NA,NA,"0","0"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae",NA,NA,NA,"1.14","0.24"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA,NA,"10.54","3.65"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae",NA,NA,NA,"9.11","3.59"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae",NA,NA,NA,"0","0"
"Bacteria","Spirochaetes","Brachyspirae","Brachyspirales","Brachyspiraceae",NA,NA,NA,"0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,NA,NA,"32.81","70.63"
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae",NA,NA,NA,"0.46","0.93"
"Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae",NA,NA,NA,"0","0.56"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae",NA,NA,NA,"5.79","6.78"
"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae",NA,NA,NA,"0.22","0.02"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI",NA,NA,NA,"0.02","0.04"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII",NA,NA,NA,"0.5","0.07"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,NA,NA,"0.24","0.12"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,NA,"32.78","9.62"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",NA,NA,NA,"2.61","1.66"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,NA,"3.67","0.86"
