"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","North_Red_Sea","Northern_Crete"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales",NA,NA,NA,NA,"0.09","1.15"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales",NA,NA,NA,NA,"0","0"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,NA,"18.99","7.04"
"Bacteria","Spirochaetes","Brachyspirae","Brachyspirales",NA,NA,NA,NA,"0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales",NA,NA,NA,NA,"29.97","66.41"
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,NA,NA,"0.42","0.87"
"Bacteria","Deferribacteres","Deferribacteres","Deferribacterales",NA,NA,NA,NA,"0","0.53"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales",NA,NA,NA,NA,"5.29","6.38"
"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales",NA,NA,NA,NA,"0.2","0.02"
"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39",NA,NA,NA,NA,"8.68","5.98"
"Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA,"33.98","10.07"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales",NA,NA,NA,NA,"2.38","1.56"
