"Index","Rank","Comparison","Factor","R2","F_value","p_value","DF","Sum_sq"
"phylo_q0","ASV","Northern_Crete_vs_North_Red_Sea","region",0.115058673892583,4.00662617343009,0.004,1,0.181981677777541
"phylo_q0","ASV","Northern_Crete_vs_North_Red_Sea","season",0.0521455027755059,1.81583473178272,0.08,1,0.0824755384587458
"phylo_q0","Family","Northern_Crete_vs_North_Red_Sea","region",0.224964923306177,9.20933147630608,0.001,1,0.113130537389039
"phylo_q0","Family","Northern_Crete_vs_North_Red_Sea","season",0.0666250479458994,2.72741253232399,0.061,1,0.0335044564588934
"phylo_q0","Phylum","Northern_Crete_vs_North_Red_Sea","region",0.38901141922047,19.1121341930305,0.001,1,0.0936409638277243
"phylo_q0","Phylum","Northern_Crete_vs_North_Red_Sea","season",0.0207179682224312,1.01787394742167,0.4,1,0.00498712998396869
"phylo_q1","ASV","Northern_Crete_vs_North_Red_Sea","region",0.412314867354411,21.7060109563081,0.001,1,0.310665180587905
"phylo_q1","ASV","Northern_Crete_vs_North_Red_Sea","season",0.036817855496123,1.938248746436,0.17,1,0.0277409975535292
"phylo_q1","Family","Northern_Crete_vs_North_Red_Sea","region",0.545907714538518,34.8827866662843,0.001,1,0.266553772003114
"phylo_q1","Family","Northern_Crete_vs_North_Red_Sea","season",0.000248850501090609,0.0159012204996586,0.705,1,0.000121507789620889
"phylo_q1","Phylum","Northern_Crete_vs_North_Red_Sea","region",0.576982678443954,37.0159716902145,0.001,1,0.223973886815774
"phylo_q1","Phylum","Northern_Crete_vs_North_Red_Sea","season",-0.0290172168023803,-1.86158183913325,0.994,1,-0.0112639409719063
"taxo_q0","ASV","Northern_Crete_vs_North_Red_Sea","region",0.120775186611802,4.2164188908411,0.001,1,0.383390328310424
"taxo_q0","ASV","Northern_Crete_vs_North_Red_Sea","season",0.048548236316992,1.69488209015924,0.072,1,0.15411215484427
"taxo_q0","Family","Northern_Crete_vs_North_Red_Sea","region",0.182390460156481,7.05987872484274,0.001,1,0.132361013933121
"taxo_q0","Family","Northern_Crete_vs_North_Red_Sea","season",0.0684007289434731,2.64762121120511,0.068,1,0.0496385053744324
"taxo_q0","Phylum","Northern_Crete_vs_North_Red_Sea","region",0.398958827524646,19.7537567157492,0.001,1,0.133305266121806
"taxo_q0","Phylum","Northern_Crete_vs_North_Red_Sea","season",0.0153396188569275,0.759514712062226,0.463,1,0.0051254711836235
"taxo_q1","ASV","Northern_Crete_vs_North_Red_Sea","region",0.183558239565434,7.27145374754954,0.001,1,0.703448108354427
"taxo_q1","ASV","Northern_Crete_vs_North_Red_Sea","season",0.0843750881832987,3.34242446769359,0.01,1,0.323349669921089
"taxo_q1","Family","Northern_Crete_vs_North_Red_Sea","region",0.513758224381696,31.7903282898809,0.001,1,0.283790597586381
"taxo_q1","Family","Northern_Crete_vs_North_Red_Sea","season",0.0175775840688368,1.08766564031906,0.392,1,0.00970953427173549
"taxo_q1","Phylum","Northern_Crete_vs_North_Red_Sea","region",0.573007615871538,36.9293028371174,0.001,1,0.233620817941957
"taxo_q1","Phylum","Northern_Crete_vs_North_Red_Sea","season",-0.0229814735846799,-1.48111434149267,0.983,1,-0.00936977189770555
