"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Epsilonbacteraeota","Campylobacteria",NA,NA,NA,NA,NA,"0.09","0.18","0.4","0.29","0.8","2.41"
"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA,"0","0","0.03","0","0","0"
"Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA,NA,NA,"30.77","24.13","2.56","27.87","30.29","20.29"
"Bacteria","Spirochaetes","Brachyspirae",NA,NA,NA,NA,NA,"0.03","0","0","0.02","0.14","0.15"
"Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA,NA,"30.21","31.49","5.44","28.37","45.47","49.29"
"Bacteria","Verrucomicrobia","Verrucomicrobiae",NA,NA,NA,NA,NA,"4.3","3.31","0.04","1.39","3.32","2.87"
"Bacteria","Deferribacteres","Deferribacteres",NA,NA,NA,NA,NA,"1.28","0.24","0.01","0.12","1.9","0.73"
"Bacteria","Fusobacteria","Fusobacteriia",NA,NA,NA,NA,NA,"5.81","4.63","1.28","11.26","4.9","7.3"
"Bacteria","Tenericutes","Mollicutes",NA,NA,NA,NA,NA,"2.56","4.75","22.63","3.73","2.67","3.02"
"Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA,NA,"14.3","17.41","39.91","11.93","9.27","10.5"
"Bacteria","Firmicutes","Erysipelotrichia",NA,NA,NA,NA,NA,"10.63","13.87","27.71","15.02","1.25","3.44"
