"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea","North_Red_Sea","Northern_Crete"
"Bacteria","Epsilonbacteraeota","Campylobacteria",NA,NA,NA,NA,NA,"0.15","0.34","1.58"
"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA,"0","0.02","0"
"Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA,NA,NA,"26.29","14.81","25.46"
"Bacteria","Spirochaetes","Brachyspirae",NA,NA,NA,NA,NA,"0.01","0.01","0.14"
"Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA,NA,"31.07","16.54","47.32"
"Bacteria","Verrucomicrobia","Verrucomicrobiae",NA,NA,NA,NA,NA,"3.63","0.7","3.1"
"Bacteria","Deferribacteres","Deferribacteres",NA,NA,NA,NA,NA,"0.58","0.06","1.33"
"Bacteria","Fusobacteria","Fusobacteriia",NA,NA,NA,NA,NA,"5.01","6.11","6.06"
"Bacteria","Tenericutes","Mollicutes",NA,NA,NA,NA,NA,"4.04","13.48","2.84"
"Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA,NA,"16.4","26.36","9.86"
"Bacteria","Firmicutes","Erysipelotrichia",NA,NA,NA,NA,NA,"12.82","21.57","2.31"
