"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea","North_Red_Sea","Northern_Crete"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae",NA,NA,NA,"0.16","0.4","1.62"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA,NA,"0","0.02","0"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rs-E47_termite_group",NA,NA,NA,"0.12","0.02","0.01"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae",NA,NA,NA,"4.12","1.64","7.69"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,NA,NA,"18.44","12.34","15.92"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae",NA,NA,NA,"3.94","3.13","2.56"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae",NA,NA,NA,"0.78","0","0.03"
"Bacteria","Spirochaetes","Brachyspirae","Brachyspirales","Brachyspiraceae",NA,NA,NA,"0.01","0.01","0.15"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,NA,NA,"32.38","19.11","48.7"
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae",NA,NA,NA,"3.79","0.81","3.19"
"Bacteria","Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae",NA,NA,NA,"0.6","0.07","1.37"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae",NA,NA,NA,"5.22","7.06","6.24"
"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae",NA,NA,NA,"0","0","0"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI",NA,NA,NA,"0.38","0.59","0.46"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII",NA,NA,NA,"0.92","0.89","0.3"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,NA,NA,"0.01","0.02","0.04"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,NA,NA,"8.84","24.6","8.1"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,NA,NA,"6.93","4.37","1.25"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",NA,NA,NA,"13.36","24.93","2.38"
