"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea","North_Red_Sea","Northern_Crete"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA,NA,"0.26","0.76","3.11"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Maritimibacter",NA,NA,"0","0.04","0"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae","Labilibacter",NA,NA,"6.7","3.07","13.94"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group",NA,NA,"4.39","0.97","1.2"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","dgA-11_gut_group",NA,NA,"3.75","1.36","0.91"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella",NA,NA,"17.94","18.06","14.48"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes",NA,NA,"0.63","0.81","2.88"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter",NA,NA,"6.55","5.99","4.91"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides",NA,NA,"1.3","0","0.07"
"Bacteria","Spirochaetes","Brachyspirae","Brachyspirales","Brachyspiraceae","Brachyspira",NA,NA,"0.02","0.02","0.28"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio",NA,NA,"27.12","14.82","35.93"
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia",NA,NA,"6.3","1.54","6.13"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium",NA,NA,"8.69","13.53","11.98"
"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma",NA,NA,"0","0","0"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Sedimentibacter",NA,NA,"0.63","1.13","0.89"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella",NA,NA,"0.02","0.04","0.08"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Paludicola",NA,NA,"0","0.1","0.04"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium",NA,NA,"0.09","0.28","0.06"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruthenibacterium",NA,NA,"0.47","0.61","0.76"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella",NA,NA,"0.42","0.54","0.49"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Epulopiscium",NA,NA,"9.65","0.04","0.52"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Bacteroides",NA,NA,"0.56","2.58","0.36"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Neglecta",NA,NA,"0.58","0.62","0.28"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium",NA,NA,"0","0.02","0"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor",NA,NA,"0.04","0.09","0.06"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014",NA,NA,"2.7","29.56","0.45"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Breznakia",NA,NA,"0.05","2.47","0.01"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus",NA,NA,"1.12","0.92","0.19"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Faecalicatena",NA,NA,"0","0.02","0"
