"Class","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteroidia","30.77","24.13","2.56","27.87","30.29","20.29"
"Deferribacteres","1.28","0.24","0.01","0.12","1.9","0.73"
"Campylobacteria","0.09","0.18","0.4","0.29","0.8","2.41"
"Clostridia","14.3","17.41","39.91","11.93","9.27","10.5"
"Erysipelotrichia","10.63","13.87","27.71","15.02","1.25","3.44"
"Fusobacteriia","5.81","4.63","1.28","11.26","4.9","7.3"
"Alphaproteobacteria","0","0","0.03","0","0","0"
"Deltaproteobacteria","30.21","31.49","5.44","28.37","45.47","49.29"
"Brachyspirae","0.03","0","0","0.02","0.14","0.15"
"Mollicutes","2.56","4.75","22.63","3.73","2.67","3.02"
"Verrucomicrobiae","4.3","3.31","0.04","1.39","3.32","2.87"
