"Family","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Marinifilaceae","5.72","3.05","0.14","5.69","2.19","2.95"
"Marinilabiliaceae","3.57","4.39","0.31","2.77","8","7.35"
"Rikenellaceae","20.86","17.25","2.84","20.47","20.86","10.62"
"Rs-E47_termite_group","0.15","0.1","0.02","0.02","0.02","0"
"Tannerellaceae","1.27","0.53","0","0","0.06","0.01"
"Deferribacteraceae","1.32","0.25","0.01","0.13","1.95","0.75"
"Arcobacteraceae","0.1","0.19","0.51","0.3","0.82","2.48"
"Christensenellaceae","0.02","0.01","0.04","0","0.06","0.02"
"Family_XI","0.41","0.36","0.82","0.4","0.17","0.78"
"Family_XIII","0.82","0.97","1.42","0.43","0.22","0.38"
"Lachnospiraceae","8.14","6.34","5.64","3.27","1.03","1.49"
"Ruminococcaceae","5.28","10.59","43.66","8.29","8.04","8.16"
"Erysipelotrichaceae","10.91","14.56","35.82","15.6","1.28","3.54"
"Fusobacteriaceae","5.97","4.86","1.65","11.7","5.03","7.53"
"Rhodobacteraceae","0","0","0.04","0","0","0"
"Desulfovibrionaceae","31.01","33.06","7.03","29.46","46.71","50.82"
"Brachyspiraceae","0.03","0","0","0.02","0.14","0.15"
"Anaeroplasmataceae","0","0","0","0","0","0"
"Akkermansiaceae","4.42","3.48","0.05","1.45","3.41","2.96"
