"Order","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteroidales","30.77","24.13","2.56","27.87","30.29","20.29"
"Deferribacterales","1.28","0.24","0.01","0.12","1.9","0.73"
"Campylobacterales","0.09","0.18","0.4","0.29","0.8","2.41"
"Clostridiales","14.3","17.41","39.91","11.93","9.27","10.5"
"Erysipelotrichales","10.63","13.87","27.71","15.02","1.25","3.44"
"Fusobacteriales","5.81","4.63","1.28","11.26","4.9","7.3"
"Rhodobacterales","0","0","0.03","0","0","0"
"Desulfovibrionales","30.21","31.49","5.44","28.37","45.47","49.29"
"Brachyspirales","0.03","0","0","0.02","0.14","0.15"
"Anaeroplasmatales","0","0","0","0","0","0"
"Mollicutes_RF39","2.56","4.75","22.63","3.73","2.67","3.02"
"Verrucomicrobiales","4.3","3.31","0.04","1.39","3.32","2.87"
