"Index","Rank","Comparison","Factor","R2","F_value","p_value","DF","Sum_sq"
"phylo_q0","ASV","Northern_Crete_vs_Levantine_Sea","region",0.17609909938971,19.3603329700892,0.001,1,0.942200013534337
"phylo_q0","ASV","Northern_Crete_vs_Levantine_Sea","season",0.0234642154439632,2.57965557717997,0.007,1,0.125542857320067
"phylo_q0","ASV","Northern_Crete_vs_North_Red_Sea","region",0.257207518524146,30.9517155380998,0.001,1,1.87122697557645
"phylo_q0","ASV","Northern_Crete_vs_North_Red_Sea","season",0.0613757602276191,7.38580692508623,0.001,1,0.446518744255336
"phylo_q0","ASV","Levantine_Sea_vs_North_Red_Sea","region",0.115326736083374,10.2592047591736,0.001,1,0.822922253522015
"phylo_q0","ASV","Levantine_Sea_vs_North_Red_Sea","season",0.0865413955963437,7.69852618499215,0.001,1,0.617522377773685
"phylo_q0","Family","Northern_Crete_vs_Levantine_Sea","region",0.164702769906215,17.7703774495281,0.001,1,0.107580443121223
"phylo_q0","Family","Northern_Crete_vs_Levantine_Sea","season",0.0196790029113489,2.12323878805536,0.114,1,0.0128539177245911
"phylo_q0","Family","Northern_Crete_vs_North_Red_Sea","region",0.27205852530388,34.0932311275998,0.001,1,0.470771213973638
"phylo_q0","Family","Northern_Crete_vs_North_Red_Sea","season",0.073594604743442,9.22256660202053,0.001,1,0.127348412913294
"phylo_q0","Family","Levantine_Sea_vs_North_Red_Sea","region",0.157318386595693,14.9112997089722,0.001,1,0.263507884031343
"phylo_q0","Family","Levantine_Sea_vs_North_Red_Sea","season",0.0936117357749701,8.87291484882233,0.001,1,0.156799411361615
"phylo_q0","Phylum","Northern_Crete_vs_Levantine_Sea","region",0.161477336233684,17.1419633862523,0.001,1,0.0632010381410441
"phylo_q0","Phylum","Northern_Crete_vs_Levantine_Sea","season",0.00956245259467967,1.01512209752801,0.414,1,0.00374267340082743
"phylo_q0","Phylum","Northern_Crete_vs_North_Red_Sea","region",0.378281815852667,59.5286487623598,0.001,1,0.472926487639178
"phylo_q0","Phylum","Northern_Crete_vs_North_Red_Sea","season",0.100639517911385,15.8372257462499,0.001,1,0.125819142578264
"phylo_q0","Phylum","Levantine_Sea_vs_North_Red_Sea","region",0.132541115857815,12.5826643623654,0.001,1,0.148247683296522
"phylo_q0","Phylum","Levantine_Sea_vs_North_Red_Sea","season",0.119571238497651,11.3513814311198,0.001,1,0.133740831902974
"phylo_q1","ASV","Northern_Crete_vs_Levantine_Sea","region",0.251570648168766,30.7751866714794,0.001,1,0.400445399164641
"phylo_q1","ASV","Northern_Crete_vs_Levantine_Sea","season",0.0290765409068488,3.5569967350439,0.046,1,0.0462834878175415
"phylo_q1","ASV","Northern_Crete_vs_North_Red_Sea","region",0.475882991930232,87.8765080931799,0.001,1,2.47494794071661
"phylo_q1","ASV","Northern_Crete_vs_North_Red_Sea","season",0.0800574273579179,14.7833969325146,0.001,1,0.416358576243459
"phylo_q1","ASV","Levantine_Sea_vs_North_Red_Sea","region",0.22945183103932,23.5691625281225,0.001,1,0.860271430084176
"phylo_q1","ASV","Levantine_Sea_vs_North_Red_Sea","season",0.0793449925918383,8.15027283817683,0.004,1,0.29748392042817
"phylo_q1","Family","Northern_Crete_vs_Levantine_Sea","region",0.282348573392961,35.5773691098519,0.001,1,0.275278382744249
"phylo_q1","Family","Northern_Crete_vs_Levantine_Sea","season",0.0192671705407273,2.42776235697818,0.19,1,0.018784708145585
"phylo_q1","Family","Northern_Crete_vs_North_Red_Sea","region",0.520627465635155,103.572586951536,0.001,1,1.93053770578839
"phylo_q1","Family","Northern_Crete_vs_North_Red_Sea","season",0.0671838130185394,13.3654134191889,0.001,1,0.249124168070339
"phylo_q1","Family","Levantine_Sea_vs_North_Red_Sea","region",0.24234147251742,23.3009909605773,0.001,1,0.606756312746211
"phylo_q1","Family","Levantine_Sea_vs_North_Red_Sea","season",0.0192245021723311,1.84842464925968,0.211,1,0.0481328595196462
"phylo_q1","Phylum","Northern_Crete_vs_Levantine_Sea","region",0.280467202056438,35.1827586206621,0.001,1,0.1664260218177
