"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Algae","Fish","Seagrass","Sediment","Turf","Water"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA,NA,"0","0.0115095486388791","0.000655988629530421","0","0.00022475950732716","0.000196274064018057"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA,NA,"9.65262611759312e-05","0","8.19985786913027e-05","0.00131665569453588","1.4983967155144e-05","0.000245342580022572"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Oleiagrimonas",NA,NA,"0","1.91932439781197e-05","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,NA,"2.41315652939828e-05","0","0","0","0","8.17808600075238e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA,NA,"0.000120657826469914","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Delftia",NA,NA,"0.00016892095705788","7.03752279197722e-05","0.000163997157382605","0","1.4983967155144e-05","0.00503770097646347"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Hydrogenophaga",NA,NA,"2.41315652939828e-05","0","0","0","0","0.00477600222443939"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Acidovorax",NA,NA,"0.00164094643999083","0","0.000792652927349259","0","0.000119871737241152","1.63561720015048e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","MWH-UniP1_aquatic_group",NA,NA,"0","0","0","0","0","0.00248613814422872"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Curvibacter",NA,NA,"2.41315652939828e-05","1.27954959854131e-05","2.73328595637676e-05","0","1.4983967155144e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Paraburkholderia",NA,NA,"0.00171334113587278","0","0.00256928879899415","0","1.4983967155144e-05","9.81370320090286e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia",NA,NA,"0.00132723609116905","0","0.00150330727600722","0","1.4983967155144e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA,NA,"0.00068774961087851","0","0.000929317225168097","0","1.4983967155144e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Cupriavidus",NA,NA,"0.000337841914115759","6.39774799270657e-06","0.000464658612584049","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Noviherbaspirillum",NA,NA,"7.23946958819484e-05","2.55909919708263e-05","0.00010933143825507","5.26662277814352e-05","1.4983967155144e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA,NA,"0.00108592043822923","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Oxalobacter",NA,NA,"0","0.00144589104635168","0.000163997157382605","2.63331138907176e-05","2.9967934310288e-05","4.90685160045143e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Limnobacter",NA,NA,"0.000144789391763897","0","0","0","0.000239743474482304","0.0030913165082844"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera",NA,NA,"0.00523654966879427","0","0.00172197015251736","0","0.000569390751895472","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas",NA,NA,"0.0036438663593914","0","0.000956650084731865","0","1.4983967155144e-05","3.27123440030095e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium",NA,NA,"0.000301644566174785","0","0.00150330727600722","0","0","0.00121035672811135"
"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","3PJM14",NA,NA,"0","0","0","0.00315997366688611","2.9967934310288e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","CI75cm.2.12",NA,NA,"0","0","0","0.000526662277814352","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","SAR92_clade",NA,NA,"0","0","0","0","0","0.00117764438410834"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Oleibacter",NA,NA,"0","0","0","0","0","0.00191367212417606"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola",NA,NA,"1.20657826469914e-05","0","0","0","0","0.00387641276435663"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA,"0.000892867915877363","6.39774799270657e-05","0.00453725468758541","5.26662277814352e-05","0.000584374719050616","0.000327123440030095"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas",NA,NA,"0","0","0","0","0","0.000228986408021067"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Marinomonadaceae","Marinomonas",NA,NA,"0","0","0","0","0","0.000621534536057181"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)_clade",NA,NA,"0.00016892095705788","0","0.000191330016946373","7.89993416721527e-05","0.000254727441637448","0.00160290485614747"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Luminiphilus",NA,NA,"0.000361973479409742","8.31707239051854e-05","0.000929317225168097","0.000131665569453588","0.00178309209146214","0.00983005937290437"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Parahaliea",NA,NA,"0.014056636783745","0.000230318927737436","0.00579456622751872","0.00660961158657011","0.0190146543198777","0.000457972816042134"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus",NA,NA,"0.0138153211308051","0.000102363967883305","0.00645055485704914","0.00497695852534562","0.0174713057028979","0.000130849376012038"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Kineobactrum",NA,NA,"0.000784275872054441","0.000153545951824958","0.000628655769966654","0.000552995391705069","0.00245737061344362","4.90685160045143e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Marimicrobium",NA,NA,"0.00211151196322349","3.83864879562394e-05","0.00191330016946373","0.00655694535878868","0.0042554466720609","8.17808600075238e-05"
