"Class","unique","Algae","Fish","Seagrass","Sediment","Turf","Water"
"Acidimicrobiia","Acidimicrobiia","3","0","5.03","2.7","1.82","4.32"
"Alphaproteobacteria","Alphaproteobacteria","40.37","0.76","35.72","13.26","40.91","36.56"
"Anaerolineae","Anaerolineae","1.11","0","1.98","0.57","0.33","0.01"
"Bacteroidia","Bacteroidia","31.23","22.61","32.38","34.1","30.5","29.49"
"Clostridia","Clostridia","0.34","20.54","1.66","0.11","0.7","0.39"
"Dadabacteriia","Dadabacteriia","0.11","0","0.22","0.18","0.54","0.21"
"Deferribacteres","Deferribacteres","0","0.91","0.08","0","0.03","0.05"
"Deltaproteobacteria","Deltaproteobacteria","0.76","31","2.71","11.29","2.64","0.74"
"Erysipelotrichia","Erysipelotrichia","0.01","6.89","0.16","0.01","0.08","0.03"
"Fusobacteriia","Fusobacteriia","0.3","3.43","0.28","0.08","0.07","0.2"
"Gammaproteobacteria","Gammaproteobacteria","13.84","0.72","11.6","25.09","13.31","11.3"
"Ignavibacteria","Ignavibacteria","0","0","0.05","0.81","0.01","0"
"Mollicutes","Mollicutes","0.02","7.31","0.22","0","0.08","0.07"
"Other","Other","0.64","1.26","0.53","1.35","0.54","0.34"
"Oxyphotobacteria","Oxyphotobacteria","0.91","0.03","0.74","0.45","2.07","14.3"
"Planctomycetacia","Planctomycetacia","2.33","0.15","4.08","6.03","3.64","0.1"
"Rhodothermia","Rhodothermia","0.01","0","0.02","0.24","0.16","1.27"
"Saccharimonadia","Saccharimonadia","0.2","0","0.45","0.01","0.12","0"
"Spirochaetia","Spirochaetia","0","0.25","0.01","0.53","0.02","0"
"Thermoanaerobaculia","Thermoanaerobaculia","0.06","0","0.14","2.26","0.04","0"
"Verrucomicrobiae","Verrucomicrobiae","4.78","4.14","1.94","0.93","2.38","0.61"
