"Family","unique","Algae","Fish","Seagrass","Sediment","Turf","Water"
"Clade_I","Clade_I","0.01","0","0.06","0.01","0.03","13.85"
"Cyanobiaceae","Cyanobiaceae","0.18","0.01","0.57","0.06","0.13","14.73"
"Cyclobacteriaceae","Cyclobacteriaceae","1.59","0.05","0.7","5.31","6.58","0.58"
"Desulfobulbaceae","Desulfobulbaceae","0.28","0.29","0.45","4.36","0.96","0.05"
"Desulfovibrionaceae","Desulfovibrionaceae","0.03","33.11","1.49","0.07","0.74","0.6"
"Erysipelotrichaceae","Erysipelotrichaceae","0.01","7.45","0.17","0.01","0.09","0.03"
"Flavobacteriaceae","Flavobacteriaceae","19.62","0.22","13.51","24.18","20.68","23.94"
"Halieaceae","Halieaceae","2.62","0.04","1.12","1.47","3.8","0.97"
"Hyphomonadaceae","Hyphomonadaceae","2.74","0.01","1.48","1.38","2.39","0.3"
"Microtrichaceae","Microtrichaceae","2.78","0","5.1","1.31","1.44","0.06"
"Other","Other","14.77","25.27","14.91","28.39","12.87","31.16"
"Pirellulaceae","Pirellulaceae","2.3","0.16","4.11","6.96","3.65","0.1"
"Rhodobacteraceae","Rhodobacteraceae","30.5","0.53","30.88","8.23","30.8","11.59"
"Rikenellaceae","Rikenellaceae","0.02","16.49","0.82","0.02","0.32","0.3"
"Rubritaleaceae","Rubritaleaceae","4.23","0.03","1.38","0.19","1.84","0.15"
"Ruminococcaceae","Ruminococcaceae","0.07","16.22","0.95","0.03","0.21","0.22"
"Saprospiraceae","Saprospiraceae","10.11","0.01","17.04","7.36","3.06","0.75"
"Sphingomonadaceae","Sphingomonadaceae","4.29","0.04","2.17","1.03","4.4","0.47"
"Thiohalorhabdaceae","Thiohalorhabdaceae","2.21","0","1.97","0.37","1.22","0.03"
"Unknown_Family","Unknown_Family","1.21","0.07","0.6","2.18","3.6","0.06"
"Woeseiaceae","Woeseiaceae","0.44","0","0.51","7.07","1.2","0.03"
