"Phylum","unique","Algae","Fish","Seagrass","Sediment","Turf","Water"
"Acidobacteria","Acidobacteria","0.08","0","0.15","2.45","0.07","0.01"
"Actinobacteria","Actinobacteria","3.03","0","5.06","2.7","1.83","4.35"
"Bacteroidetes","Bacteroidetes","31.23","22.61","32.45","35.15","30.68","30.77"
"Calditrichaeota","Calditrichaeota","0","0","0.01","0.44","0","0"
"Chloroflexi","Chloroflexi","1.11","0","1.98","0.59","0.33","0.05"
"Cyanobacteria","Cyanobacteria","0.93","0.05","0.76","0.45","2.08","14.3"
"Dadabacteria","Dadabacteria","0.11","0","0.22","0.18","0.54","0.21"
"Deferribacteres","Deferribacteres","0","0.91","0.08","0","0.03","0.05"
"Deinococcus-Thermus","Deinococcus-Thermus","0.14","0","0.07","0.17","0.09","0.03"
"Epsilonbacteraeota","Epsilonbacteraeota","0.01","0.59","0.05","0.08","0.02","0.03"
"Firmicutes","Firmicutes","0.44","27.43","1.88","0.14","1.08","0.45"
"Fusobacteria","Fusobacteria","0.3","3.43","0.28","0.08","0.07","0.2"
"Kiritimatiellaeota","Kiritimatiellaeota","0","0.06","0.01","0.04","0.02","0.13"
"Lentisphaerae","Lentisphaerae","0","0.07","0","0.01","0","0.02"
"Other","Other","0","0","0","0.04","0.01","0"
"Patescibacteria","Patescibacteria","0.47","0","0.71","0.01","0.12","0.01"
"Planctomycetes","Planctomycetes","2.33","0.15","4.08","6.37","3.66","0.11"
"Proteobacteria","Proteobacteria","54.96","32.48","50.03","49.64","56.86","48.6"
"Spirochaetes","Spirochaetes","0.04","0.77","0.02","0.54","0.05","0"
"Tenericutes","Tenericutes","0.02","7.31","0.22","0","0.08","0.07"
"Verrucomicrobia","Verrucomicrobia","4.78","4.14","1.94","0.93","2.38","0.61"
