"factor","df","Sum_sq","R2","F-value","p-value","data_type","rank","q","div_facet"
"fact",5,18.14,0.649,127.741,0.001,"q0","Phylum","","q0"
"Residual",346,9.827,0.351,NA,NA,"q0","Phylum","","q0"
"Total",351,27.967,1,NA,NA,"q0","Phylum","","q0"
"fact",5,7.157,0.772,234.272,0.001,"q1","Phylum","","q1"
"Residual",346,2.114,0.228,NA,NA,"q1","Phylum","","q1"
"Total",351,9.27,1,NA,NA,"q1","Phylum","","q1"
"fact",5,50.375,0.696,158.758,0.001,"q0","Family","","q0"
"Residual",346,21.958,0.304,NA,NA,"q0","Family","","q0"
"Total",351,72.333,1,NA,NA,"q0","Family","","q0"
"fact",5,77.624,0.907,674.565,0.001,"q1","Family","","q1"
"Residual",346,7.963,0.093,NA,NA,"q1","Family","","q1"
"Total",351,85.587,1,NA,NA,"q1","Family","","q1"
"fact",5,40.989,0.266,25.094,0.001,"q0","ASV","","q0"
"Residual",346,113.035,0.734,NA,NA,"q0","ASV","","q0"
"Total",351,154.025,1,NA,NA,"q0","ASV","","q0"
"fact",5,50.018,0.334,34.656,0.001,"q1","ASV","","q1"
"Residual",346,99.874,0.666,NA,NA,"q1","ASV","","q1"
"Total",351,149.893,1,NA,NA,"q1","ASV","","q1"
