"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Patescibacteria","Parcubacteria",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Patescibacteria","Gracilibacteria",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Patescibacteria","Saccharimonadia",NA,NA,NA,NA,NA,"0","0","1e-04","0.00025"
"Bacteria","Epsilonbacteraeota","Campylobacteria",NA,NA,NA,NA,NA,"0.000928571428571429","0.004125","0.00015","5e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA,"0.166071428571429","0.187125","0.3307","0.256"
"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA,"0.125857142857143","0.1795","0.0877","0.1634"
"Bacteria","Deinococcus-Thermus","Deinococci",NA,NA,NA,NA,NA,"0","0.000625","0.0019","0.00305"
"Bacteria","Calditrichaeota","Calditrichia",NA,NA,NA,NA,NA,"0.00257142857142857","0.001125","0.0078","0.0035"
"Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA,NA,NA,"0.397714285714286","0.36225","0.2624","0.3713"
"Bacteria","Bacteroidetes","Rhodothermia",NA,NA,NA,NA,NA,"0.000142857142857143","0.001625","0.0028","0.00385"
"Bacteria","Bacteroidetes","Ignavibacteria",NA,NA,NA,NA,NA,"0.0157857142857143","0.003375","0.0087","0.0041"
"Bacteria","Kiritimatiellaeota","Kiritimatiellae",NA,NA,NA,NA,NA,"0","0.001","0.00035","5e-04"
"Bacteria","Latescibacteria","Latescibacteria",NA,NA,NA,NA,NA,"0","0.000375","0.00085","3e-04"
"Bacteria","Spirochaetes","Spirochaetia",NA,NA,NA,NA,NA,"0.0152857142857143","0.00825","0.0015","0.001"
"Bacteria","Spirochaetes","Brachyspirae",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Spirochaetes","Leptospirae",NA,NA,NA,NA,NA,"0","0","1e-04","0"
"Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA,NA,"0.149214285714286","0.107375","0.1388","0.0637"
"Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)",NA,NA,NA,NA,NA,"7.14285714285714e-05","5e-04","0.0028","0.00255"
"Bacteria","Acidobacteria","Acidobacteriia",NA,NA,NA,NA,NA,"0","0.000125","2e-04","0"
"Bacteria","Acidobacteria","Thermoanaerobaculia",NA,NA,NA,NA,NA,"0.0176428571428571","0.004","0.04085","0.0154"
"Bacteria","Actinobacteria","Acidimicrobiia",NA,NA,NA,NA,NA,"0.0103571428571429","0.026125","0.03515","0.031"
"Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Actinobacteria","Thermoleophilia",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Chlamydiae","Chlamydiae",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Planctomycetes","Planctomycetacia",NA,NA,NA,NA,NA,"0.0638571428571429","0.080375","0.05455","0.05555"
"Bacteria","Planctomycetes","Phycisphaerae",NA,NA,NA,NA,NA,"0.00107142857142857","0.000375","0.0059","0.00385"
"Bacteria","Chloroflexi","Anaerolineae",NA,NA,NA,NA,NA,"0.0107142857142857","0.007125","0.0055","0.0018"
"Bacteria","Verrucomicrobia","Verrucomicrobiae",NA,NA,NA,NA,NA,"0.00378571428571429","0.006","0.0077","0.01595"
"Bacteria","Chloroflexi","Dehalococcoidia",NA,NA,NA,NA,NA,"0","0","7e-04","0"
"Bacteria","Lentisphaerae","Lentisphaeria",NA,NA,NA,NA,NA,"0","0","2e-04","5e-05"
"Bacteria","Dadabacteria","Dadabacteriia",NA,NA,NA,NA,NA,"0.00178571428571429","0.010125","1e-04","1e-04"
"Bacteria","Deferribacteres","Deferribacteres",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Fusobacteria","Fusobacteriia",NA,NA,NA,NA,NA,"0.000142857142857143","0.000125","0.00125","0.001"
"Bacteria","Firmicutes","Bacilli",NA,NA,NA,NA,NA,"0.000214285714285714","5e-04","0","1e-04"
"Bacteria","Tenericutes","Mollicutes",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA,NA,"0.00242857142857143","0.00075","0.00045","0.0011"
"Bacteria","Firmicutes","Erysipelotrichia",NA,NA,NA,NA,NA,"0","0.00025","0","1e-04"
"Bacteria","Cyanobacteria","Melainabacteria",NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Cyanobacteria","Oxyphotobacteria",NA,NA,NA,NA,NA,"0.0143571428571429","0.006875","8e-04","0.00045"
