"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA,NA,"0","0","1e-04","0.00025"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales",NA,NA,NA,NA,"0.000928571428571429","0.004125","0.00015","5e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA,NA,NA,"0.000214285714285714","0.000125","0.01275","0.00575"
"Bacteria","Proteobacteria","Gammaproteobacteria","HOC36",NA,NA,NA,NA,"0","0","5e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales",NA,NA,NA,NA,"0.000142857142857143","0","0.00615","0.00175"
"Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade",NA,NA,NA,NA,"0","0","1e-04","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","KI89A_clade",NA,NA,NA,NA,"0.00271428571428571","0.00175","0.006","0.0053"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales",NA,NA,NA,NA,"0","0","0.00035","0.0035"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales",NA,NA,NA,NA,"0.0104285714285714","0.019625","0.0092","0.0274"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales",NA,NA,NA,NA,"0.00278571428571429","0.007375","0.00025","0.00075"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales",NA,NA,NA,NA,"0.00114285714285714","0.0025","0.00165","0.0021"
"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales",NA,NA,NA,NA,"0","0","8e-04","0.00015"
"Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales",NA,NA,NA,NA,"0.000642857142857143","0.0025","0.0033","0.0051"
"Bacteria","Proteobacteria","Gammaproteobacteria","BD7-8",NA,NA,NA,NA,"0.00642857142857143","0.02025","0.0669","0.0537"
"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis",NA,NA,NA,NA,"0.0395","0.036125","0.0086","0.00745"
"Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353_marine_group",NA,NA,NA,NA,"0.00164285714285714","0.002","0.00245","0.00215"
"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales",NA,NA,NA,NA,"0.000142857142857143","0.00075","0.00095","0.0065"
"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales",NA,NA,NA,NA,"0.000142857142857143","0","5e-05","9e-04"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",NA,NA,NA,NA,"0.00192857142857143","0","0.0014","2e-04"
"Bacteria","Proteobacteria","Gammaproteobacteria","D90",NA,NA,NA,NA,"0","0","5e-05","5e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","pItb-vmat-80",NA,NA,NA,NA,"0","0.000125","0.00725","0.00565"
"Bacteria","Proteobacteria","Gammaproteobacteria","Tenderiales",NA,NA,NA,NA,"0.00107142857142857","0.00225","0.0048","0.003"
"Bacteria","Proteobacteria","Gammaproteobacteria","JTB23",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales",NA,NA,NA,NA,"0.0257857142857143","0.032","0.0239","0.00405"
"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA,NA,"0.0296428571428571","0.018125","0.0793","0.04745"
"Bacteria","Proteobacteria","Gammaproteobacteria","UBA4486",NA,NA,NA,NA,"0","0","0","1e-04"
"Bacteria","Proteobacteria","Gammaproteobacteria","Ga0077536",NA,NA,NA,NA,"0","0","0.002","3e-04"
"Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","AT-s2-59",NA,NA,NA,NA,"0","0","2e-04","0.00075"
"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales",NA,NA,NA,NA,"0.0406428571428571","0.040375","0.082","0.06165"
"Bacteria","Proteobacteria","Gammaproteobacteria","SZB50",NA,NA,NA,NA,"7.14285714285714e-05","0","7e-04","0.00075"
"Bacteria","Proteobacteria","Gammaproteobacteria","EPR3968-O8a-Bc78",NA,NA,NA,NA,"0.001","0.00125","0.00955","0.00955"
"Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodovibrionales",NA,NA,NA,NA,"0.00178571428571429","0.000625","0.0134","0.00765"
"Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales",NA,NA,NA,NA,"0.000285714285714286","0","0.00035","8e-04"
"Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade",NA,NA,NA,NA,"0","0.000125","0.00015","0.00025"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales",NA,NA,NA,NA,"0.00235714285714286","0.0115","0.00525","0.01605"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,NA,"0.0240714285714286","0.034375","0.0317","0.0397"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales",NA,NA,NA,NA,"0.0935714285714286","0.122875","0.0336","0.0709"
"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales",NA,NA,NA,NA,"0.00378571428571429","0.01","0.0032","0.02805"
"Bacteria","Proteobacteria","Alphaproteobacteria","Caedibacterales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA,NA,NA,"0","0","5e-05","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales",NA,NA,NA,NA,"0","0","0.0012","0.0017"
"Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j",NA,NA,NA,NA,"0.00207142857142857","0.003375","0.01745","0.01145"
"Bacteria","Proteobacteria","Deltaproteobacteria","Sva0485",NA,NA,NA,NA,"0.000785714285714286","0.001","0.00045","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales",NA,NA,NA,NA,"0.135428571428571","0.09725","0.0619","0.02125"
"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales",NA,NA,NA,NA,"0.000928571428571429","0","0.03685","0.01435"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfarculales",NA,NA,NA,NA,"0.00128571428571429","0.000375","0.0057","0.0028"
"Bacteria","Proteobacteria","Deltaproteobacteria","Rs-K70_termite_group",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,NA,"0.00864285714285714","0.005125","0.013","0.0101"
"Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales",NA,NA,NA,NA,"0","0","1e-04","5e-05"
"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales",NA,NA,NA,NA,"0","0.000625","0.0019","0.00305"
"Bacteria","Calditrichaeota","Calditrichia","Calditrichales",NA,NA,NA,NA,"0.00257142857142857","0.001125","0.0078","0.0035"
"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales",NA,NA,NA,NA,"0.0572857142857143","0.044125","0.0423","0.04205"
"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales",NA,NA,NA,NA,"0.0222857142857143","0.033125","0.08145","0.0899"
"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales",NA,NA,NA,NA,"0.00114285714285714","0","0.0057","0.00745"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,NA,"0.0253571428571429","0.020625","0.00215","0.00025"
"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales",NA,NA,NA,NA,"0.291642857142857","0.264375","0.1308","0.23165"
"Bacteria","Bacteroidetes","Rhodothermia","Rhodothermales",NA,NA,NA,NA,"0.000142857142857143","0.001625","0.0028","0.00385"
"Bacteria","Bacteroidetes","Rhodothermia","Balneolales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Bacteroidetes","Ignavibacteria","Kryptoniales",NA,NA,NA,NA,"0.000642857142857143","5e-04","0","0"
"Bacteria","Bacteroidetes","Ignavibacteria","Ignavibacteriales",NA,NA,NA,NA,"0.0151428571428571","0.002875","0.0087","0.0041"
"Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41",NA,NA,NA,NA,"0","5e-04","0","0"
"Bacteria","Kiritimatiellaeota","Kiritimatiellae","Kiritimatiellales",NA,NA,NA,NA,"0","5e-04","0.00035","5e-04"
"Bacteria","Latescibacteria","Latescibacteria","Latescibacterales",NA,NA,NA,NA,"0","0.000375","0.00085","3e-04"
"Bacteria","Spirochaetes","Spirochaetia","Spirochaetales",NA,NA,NA,NA,"0.0152857142857143","0.00825","0.0015","0.001"
"Bacteria","Spirochaetes","Brachyspirae","Brachyspirales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Spirochaetes","Spirochaetia","Brevinematales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Spirochaetes","Leptospirae","Leptospirales",NA,NA,NA,NA,"0","0","1e-04","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)",NA,NA,NA,NA,"0","0.00025","0.0016","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales",NA,NA,NA,NA,"0","0","0.00015","6e-04"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales",NA,NA,NA,NA,"7.14285714285714e-05","0","4e-04","0.0014"
"Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales",NA,NA,NA,NA,"7.14285714285714e-05","5e-04","0.0028","0.00255"
"Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","11-24",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Acidobacteria","Acidobacteriia","Solibacterales",NA,NA,NA,NA,"0","0.000125","2e-04","0"
"Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales",NA,NA,NA,NA,"0.0176428571428571","0.004","0.04085","0.0154"
"Bacteria","Actinobacteria","Acidimicrobiia","Actinomarinales",NA,NA,NA,NA,"0.00492857142857143","0.005","0.02055","0.012"
"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales",NA,NA,NA,NA,"0.00542857142857143","0.021125","0.0146","0.019"
"Bacteria","Actinobacteria","Actinobacteria","Frankiales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Actinobacteria","Actinobacteria","Micrococcales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Chlamydiae","Chlamydiae","Chlamydiales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Planctomycetes","Planctomycetacia","Pirellulales",NA,NA,NA,NA,"0.0634285714285714","0.080375","0.05455","0.05435"
"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales",NA,NA,NA,NA,"0.000428571428571429","0","0","0.0012"
"Bacteria","Planctomycetes","Planctomycetacia","Gemmatales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales",NA,NA,NA,NA,"0","0.000375","0.0059","0.00385"
"Bacteria","Planctomycetes","Phycisphaerae","MSBL9",NA,NA,NA,NA,"0.00107142857142857","0","0","0"
"Bacteria","Chloroflexi","Anaerolineae","Anaerolineales",NA,NA,NA,NA,"0.0107142857142857","0.007125","0.0028","4e-04"
"Bacteria","Chloroflexi","Anaerolineae","Caldilineales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Chloroflexi","Anaerolineae","SBR1031",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Chloroflexi","Anaerolineae","Ardenticatenales",NA,NA,NA,NA,"0","0","0.0027","0.0014"
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales",NA,NA,NA,NA,"0.000785714285714286","0","9e-04","0.00125"
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales",NA,NA,NA,NA,"0.003","0.006","0.0068","0.0147"
"Bacteria","Chloroflexi","Dehalococcoidia","SAR202_clade",NA,NA,NA,NA,"0","0","7e-04","0"
"Bacteria","Lentisphaerae","Lentisphaeria","Lentisphaerales",NA,NA,NA,NA,"0","0","2e-04","5e-05"
"Bacteria","Lentisphaerae","Lentisphaeria","Victivallales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Dadabacteria","Dadabacteriia","Dadabacteriales",NA,NA,NA,NA,"0.00178571428571429","0.010125","1e-04","1e-04"
"Bacteria","Deferribacteres","Deferribacteres","Deferribacterales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales",NA,NA,NA,NA,"0.000142857142857143","0.000125","0.00125","0.001"
"Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA,NA,NA,"0.000214285714285714","5e-04","0","1e-04"
"Bacteria","Tenericutes","Mollicutes","Anaeroplasmatales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Tenericutes","Mollicutes","DMI",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Tenericutes","Mollicutes","Mollicutes_RF39",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Tenericutes","Mollicutes","Izimaplasmatales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Firmicutes","Clostridia","Clostridiales",NA,NA,NA,NA,"0.00242857142857143","0.00075","0.00045","0.0011"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales",NA,NA,NA,NA,"0","0.00025","0","1e-04"
"Bacteria","Cyanobacteria","Melainabacteria","Caenarcaniphilales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Cyanobacteria","Melainabacteria","Gastranaerophilales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Cyanobacteria","Melainabacteria","Vampirovibrionales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Cyanobacteria","Oxyphotobacteria","Synechococcales",NA,NA,NA,NA,"0.000928571428571429","0.000625","3e-04","3e-04"
"Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales",NA,NA,NA,NA,"0.0111428571428571","0.005125","5e-04","5e-05"
"Bacteria","Cyanobacteria","Oxyphotobacteria","Eurycoccales",NA,NA,NA,NA,"0.00207142857142857","0.00075","0","0"
"Bacteria","Cyanobacteria","Oxyphotobacteria","Thermosynechococcales",NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Cyanobacteria","Oxyphotobacteria","Phormidesmiales",NA,NA,NA,NA,"0","0.00025","0","1e-04"
"Bacteria","Cyanobacteria","Oxyphotobacteria","Leptolyngbyales",NA,NA,NA,NA,"0.000214285714285714","0.000125","0","0"
