"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Patescibacteria",NA,NA,NA,NA,NA,NA,"0","0","1e-04","0.00025"
"Bacteria","Epsilonbacteraeota",NA,NA,NA,NA,NA,NA,"0.000928571428571429","0.004125","0.00015","5e-05"
"Bacteria","Deinococcus-Thermus",NA,NA,NA,NA,NA,NA,"0","0.000625","0.0019","0.00305"
"Bacteria","Calditrichaeota",NA,NA,NA,NA,NA,NA,"0.00257142857142857","0.001125","0.0078","0.0035"
"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA,NA,"0.413642857142857","0.36725","0.2739","0.37925"
"Bacteria","Kiritimatiellaeota",NA,NA,NA,NA,NA,NA,"0","0.001","0.00035","5e-04"
"Bacteria","Latescibacteria",NA,NA,NA,NA,NA,NA,"0","0.000375","0.00085","3e-04"
"Bacteria","Spirochaetes",NA,NA,NA,NA,NA,NA,"0.0152857142857143","0.00825","0.0016","0.001"
"Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA,"0.441142857142857","0.474","0.5572","0.4831"
"Bacteria","Acidobacteria",NA,NA,NA,NA,NA,NA,"0.0177142857142857","0.004625","0.04385","0.01795"
"Bacteria","Actinobacteria",NA,NA,NA,NA,NA,NA,"0.0103571428571429","0.026125","0.03515","0.031"
"Bacteria","Chlamydiae",NA,NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Planctomycetes",NA,NA,NA,NA,NA,NA,"0.0649285714285714","0.08075","0.06045","0.0594"
"Bacteria","Chloroflexi",NA,NA,NA,NA,NA,NA,"0.0107142857142857","0.007125","0.0062","0.0018"
"Bacteria","Verrucomicrobia",NA,NA,NA,NA,NA,NA,"0.00378571428571429","0.006","0.0077","0.01595"
"Bacteria","Lentisphaerae",NA,NA,NA,NA,NA,NA,"0","0","2e-04","5e-05"
"Bacteria","Dadabacteria",NA,NA,NA,NA,NA,NA,"0.00178571428571429","0.010125","1e-04","1e-04"
"Bacteria","Deferribacteres",NA,NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Fusobacteria",NA,NA,NA,NA,NA,NA,"0.000142857142857143","0.000125","0.00125","0.001"
"Bacteria","Tenericutes",NA,NA,NA,NA,NA,NA,"0","0","0","0"
"Bacteria","Firmicutes",NA,NA,NA,NA,NA,NA,"0.00264285714285714","0.0015","0.00045","0.0013"
"Bacteria","Cyanobacteria",NA,NA,NA,NA,NA,NA,"0.0143571428571429","0.006875","8e-04","0.00045"
