"Class","unique","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Acidimicrobiia","Acidimicrobiia","1.04","2.61","3.52","3.1"
"Alphaproteobacteria","Alphaproteobacteria","12.59","17.95","8.77","16.34"
"Anaerolineae","Anaerolineae","1.07","0.71","0.55","0.18"
"Bacteroidia","Bacteroidia","39.77","36.23","26.24","37.13"
"Blastocatellia_(Subgroup_4)","Blastocatellia_(Subgroup_4)","0.01","0.05","0.28","0.26"
"Calditrichia","Calditrichia","0.26","0.11","0.78","0.35"
"Campylobacteria","Campylobacteria","0.09","0.41","0.01","0"
"Clostridia","Clostridia","0.24","0.07","0.04","0.11"
"Dadabacteriia","Dadabacteriia","0.18","1.01","0.01","0.01"
"Deinococci","Deinococci","0","0.06","0.19","0.3"
"Deltaproteobacteria","Deltaproteobacteria","14.92","10.74","13.88","6.37"
"Gammaproteobacteria","Gammaproteobacteria","16.61","18.71","33.07","25.6"
"Ignavibacteria","Ignavibacteria","1.58","0.34","0.87","0.41"
"Other","Other","0.04","0.24","0.38","0.23"
"Oxyphotobacteria","Oxyphotobacteria","1.44","0.69","0.08","0.04"
"Phycisphaerae","Phycisphaerae","0.11","0.04","0.59","0.38"
"Planctomycetacia","Planctomycetacia","6.39","8.04","5.46","5.56"
"Rhodothermia","Rhodothermia","0.01","0.16","0.28","0.38"
"Spirochaetia","Spirochaetia","1.53","0.83","0.15","0.1"
"Thermoanaerobaculia","Thermoanaerobaculia","1.76","0.4","4.08","1.54"
"Verrucomicrobiae","Verrucomicrobiae","0.38","0.6","0.77","1.59"
