"Family","unique","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteroidetes_BD2-2","Bacteroidetes_BD2-2","2.44","1.42","0.27","0.01"
"Cyclobacteriaceae","Cyclobacteriaceae","6.04","4.71","5.35","4.98"
"Desulfobacteraceae","Desulfobacteraceae","4.16","4.1","5.35","1.92"
"Desulfobulbaceae","Desulfobulbaceae","10.12","6.29","2.59","0.6"
"Ectothiorhodospiraceae","Ectothiorhodospiraceae","2.19","3.27","1.39","0.18"
"Flavobacteriaceae","Flavobacteriaceae","30.33","27.68","15.25","26.04"
"Halieaceae","Halieaceae","1.1","2.07","1.01","1.92"
"Hyphomicrobiaceae","Hyphomicrobiaceae","0.73","0.95","0.89","0.66"
"Hyphomonadaceae","Hyphomonadaceae","0.4","1.05","0.41","3.2"
"Microtrichaceae","Microtrichaceae","0.32","2.04","1.31","1.76"
"Other","Other","10.45","8.7","18.89","15.83"
"Pirellulaceae","Pirellulaceae","6.69","8.58","7","6.44"
"Rhizobiaceae","Rhizobiaceae","1.29","2.1","1.74","2.97"
"Rhodobacteraceae","Rhodobacteraceae","9.86","13.12","4.31","8.4"
"Sandaracinaceae","Sandaracinaceae","0.91","0.55","1.67","1.18"
"Saprospiraceae","Saprospiraceae","2.33","3.54","10.31","10.3"
"Sphingomonadaceae","Sphingomonadaceae","0.25","1.23","0.67","1.9"
"Syntrophobacteraceae","Syntrophobacteraceae","0.1","0","4.73","1.7"
"Thermoanaerobaculaceae","Thermoanaerobaculaceae","1.86","0.43","5.24","1.82"
"Unknown_Family","Unknown_Family","4.16","3.86","1.1","0.88"
"Woeseiaceae","Woeseiaceae","4.28","4.31","10.52","7.3"
