"Genus","unique","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Actibacter","Actibacter","5.19","3.49","0.51","0.72"
"Anderseniella","Anderseniella","0.25","0.62","1.82","1.37"
"Blastopirellula","Blastopirellula","2.05","2.96","1.97","1.68"
"Corallibacter","Corallibacter","0.18","0.34","1.23","3.94"
"Desulforhopalus","Desulforhopalus","8.39","3.79","1","0.09"
"Filomicrobium","Filomicrobium","0.93","1.2","1.27","0.91"
"Fulvivirga","Fulvivirga","1.86","1.55","0.23","0.8"
"Gaetbulibacter","Gaetbulibacter","1.34","2.56","1.12","5.89"
"Hyphomonas","Hyphomonas","0.48","0.99","0.39","2.54"
"Maritimimonas","Maritimimonas","0.03","2.36","1.05","1.99"
"Other","Other","33.74","41.52","35.06","44.48"
"Pseudoruegeria","Pseudoruegeria","2.38","3.79","1.06","1.3"
"Robiginitalea","Robiginitalea","2.26","2.07","2.48","3"
"Rubripirellula","Rubripirellula","3.06","4.09","4.1","3.5"
"Sabulilitoribacter","Sabulilitoribacter","5.02","3.23","2.27","1.21"
"Subgroup_10","Subgroup_10","0.56","0.17","7.67","2.38"
"Sva0081_sediment_group","Sva0081_sediment_group","2.88","1.41","7.11","2.24"
"Thiogranum","Thiogranum","2.79","4.13","2.19","0.26"
"Winogradskyella","Winogradskyella","2.22","1.8","1.64","3.24"
"Woeseia","Woeseia","5.42","5.42","16.55","10.44"
"Zeaxanthinibacter","Zeaxanthinibacter","18.95","12.5","9.28","8"
