"factor","df","Sum_sq","Mean_sq","F-value","p-value","data_type","rank","q","div_facet"
"Groups",1,0.006,0.006,2.911,0.099,"q0","Phylum","","q0"
"Residuals",29,0.058,0.002,NA,NA,"q0","Phylum","","q0"
"Groups",1,0,0,1.139,0.295,"q1","Phylum","","q1"
"Residuals",29,0.004,0,NA,NA,"q1","Phylum","","q1"
"Groups",1,0.021,0.021,19.449,0,"q0","Family","","q0"
"Residuals",29,0.032,0.001,NA,NA,"q0","Family","","q0"
"Groups",1,0,0,0.002,0.962,"q1","Family","","q1"
"Residuals",29,0.061,0.002,NA,NA,"q1","Family","","q1"
"Groups",1,0.005,0.005,1.732,0.198,"q0","ASV","","q0"
"Residuals",29,0.081,0.003,NA,NA,"q0","ASV","","q0"
"Groups",1,0.01,0.01,1.483,0.233,"q1","ASV","","q1"
"Residuals",29,0.19,0.007,NA,NA,"q1","ASV","","q1"
