"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Patescibacteria","Parcubacteria",NA,NA,NA,NA,NA,"0","0","0","0","0","0"
"Bacteria","Patescibacteria","Gracilibacteria",NA,NA,NA,NA,NA,"0","0","0","0","8.82352941176471e-05","0"
"Bacteria","Patescibacteria","Saccharimonadia",NA,NA,NA,NA,NA,"0","0.003375","8.33333333333333e-05","0.000625","0.00185294117647059","8.33333333333333e-05"
"Bacteria","Epsilonbacteraeota","Campylobacteria",NA,NA,NA,NA,NA,"0.00275","0","0","6.25e-05","0","0.000333333333333333"
"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA,"0.099","0.099375","0.0805","0.1265","0.164735294117647","0.138416666666667"
"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA,"0.33575","0.416125","0.473166666666667","0.3414375","0.430382352941176","0.395"
"Bacteria","Deinococcus-Thermus","Deinococci",NA,NA,NA,NA,NA,"0","0.000125","5e-04","0","0.0015","0.00183333333333333"
"Bacteria","Calditrichaeota","Calditrichia",NA,NA,NA,NA,NA,"0","0","0","0","2.94117647058824e-05","0"
"Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA,NA,NA,"0.2185","0.32125","0.318916666666667","0.3938125","0.247","0.355333333333333"
"Bacteria","Bacteroidetes","Rhodothermia",NA,NA,NA,NA,NA,"0","0.000375","0.00775","0.001375","0.000676470588235294","0"
"Bacteria","Bacteroidetes","Ignavibacteria",NA,NA,NA,NA,NA,"0.00125","0","0","0","8.82352941176471e-05","0"
"Bacteria","Kiritimatiellaeota","Kiritimatiellae",NA,NA,NA,NA,NA,"0","0.00025","0.001","0","2.94117647058824e-05","8.33333333333333e-05"
"Bacteria","Latescibacteria","Latescibacteria",NA,NA,NA,NA,NA,"0","0","0","0","8.82352941176471e-05","0"
"Bacteria","Spirochaetes","Spirochaetia",NA,NA,NA,NA,NA,"0.00375","0","0","0","0.000176470588235294","0"
"Bacteria","Spirochaetes","Brachyspirae",NA,NA,NA,NA,NA,"0.001","0","0","0","0","0"
"Bacteria","Spirochaetes","Leptospirae",NA,NA,NA,NA,NA,"0","0","0","0","0.000323529411764706","0.000916666666666667"
"Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA,NA,"0.15925","0.003625","0.01625","0.019625","0.0290588235294118","0.009"
"Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)",NA,NA,NA,NA,NA,"0","0","0","0","8.82352941176471e-05","0.00116666666666667"
"Bacteria","Acidobacteria","Acidobacteriia",NA,NA,NA,NA,NA,"0","0","0","0","5.88235294117647e-05","0"
"Bacteria","Acidobacteria","Thermoanaerobaculia",NA,NA,NA,NA,NA,"5e-04","0.000375","0","0","0.000764705882352941","0.000583333333333333"
"Bacteria","Actinobacteria","Acidimicrobiia",NA,NA,NA,NA,NA,"0.0175","0.023375","0.00675","0.008125","0.0252941176470588","0.0200833333333333"
"Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA,NA,NA,"0","0","0","0","0.000117647058823529","0"
"Bacteria","Actinobacteria","Thermoleophilia",NA,NA,NA,NA,NA,"0","0.000125","0","0","0.000117647058823529","0"
"Bacteria","Chlamydiae","Chlamydiae",NA,NA,NA,NA,NA,"0","0","0","0","0.000176470588235294","0"
"Bacteria","Planctomycetes","Planctomycetacia",NA,NA,NA,NA,NA,"0.014","0.0295","0.0398333333333333","0.06225","0.0320588235294118","0.0225833333333333"
"Bacteria","Planctomycetes","Phycisphaerae",NA,NA,NA,NA,NA,"0","0","0","0.000125","0.000441176470588235","0.000166666666666667"
"Bacteria","Chloroflexi","Anaerolineae",NA,NA,NA,NA,NA,"0","0.00125","0.000166666666666667","6.25e-05","0.00717647058823529","0.00208333333333333"
"Bacteria","Verrucomicrobia","Verrucomicrobiae",NA,NA,NA,NA,NA,"0.019","0.01475","0.0109166666666667","0.0185","0.0315882352941176","0.0294166666666667"
"Bacteria","Chloroflexi","Dehalococcoidia",NA,NA,NA,NA,NA,"0","0","0","0","0","0"
"Bacteria","Lentisphaerae","Lentisphaeria",NA,NA,NA,NA,NA,"0","0","0","0","5.88235294117647e-05","0"
"Bacteria","Dadabacteria","Dadabacteriia",NA,NA,NA,NA,NA,"0.00825","0.002375","0.000583333333333333","0.00125","0.00947058823529412","0.005"
"Bacteria","Deferribacteres","Deferribacteres",NA,NA,NA,NA,NA,"0.00625","0","0","0","0","0"
"Bacteria","Fusobacteria","Fusobacteriia",NA,NA,NA,NA,NA,"5e-04","0.000875","0.00025","0","0.00123529411764706","0.000583333333333333"
"Bacteria","Firmicutes","Bacilli",NA,NA,NA,NA,NA,"0.0045","0","0.002","0.00025","0.00611764705882353","0"
"Bacteria","Tenericutes","Mollicutes",NA,NA,NA,NA,NA,"0.0155","5e-04","0","0","0","0"
"Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA,NA,"0.07375","0.006","0.006","0.0043125","0.00297058823529412","0.00116666666666667"
"Bacteria","Firmicutes","Erysipelotrichia",NA,NA,NA,NA,NA,"0.0175","0.000125","0","6.25e-05","0","0"
"Bacteria","Cyanobacteria","Melainabacteria",NA,NA,NA,NA,NA,"0","0","0","0","8.82352941176471e-05","0.000666666666666667"
"Bacteria","Cyanobacteria","Oxyphotobacteria",NA,NA,NA,NA,NA,"0.0015","0.07625","0.0353333333333333","0.021625","0.00614705882352941","0.0155"
