"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA,NA,"0.00374149659863946","0","0","8.68960722975322e-05","0","0.000300932891965092"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA,NA,"0","0","0","0","0","0.000100310963988364"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Oleiagrimonas",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Delftia",NA,NA,"0","0","0","0","3.87491765799977e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Hydrogenophaga",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Acidovorax",NA,NA,"0.00102040816326531","0","0","0","0","0.00050155481994182"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","MWH-UniP1_aquatic_group",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Curvibacter",NA,NA,"0","0","0","0","0","0.000100310963988364"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Paraburkholderia",NA,NA,"0","0","0","0","0","0.000100310963988364"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia",NA,NA,"0","0","0","0","0","0.000100310963988364"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA,NA,"0","0","0","0","0","0.000100310963988364"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Cupriavidus",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Noviherbaspirillum",NA,NA,"0","0","0","0","0","0.000100310963988364"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Oxalobacter",NA,NA,"0","0","0","0","0","0.000200621927976728"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Limnobacter",NA,NA,"0","0","0","0","0.000619986825279963","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera",NA,NA,"0","0","0","0","0.00050373929553997","0.0025077740997091"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas",NA,NA,"0","0","0","0","3.87491765799977e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","3PJM14",NA,NA,"0","0","0","0","7.74983531599954e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","CI75cm.2.12",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","SAR92_clade",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Oleibacter",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA,"0","0.00016061676839062","0","0","0.00147246871003991","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Marinomonadaceae","Marinomonas",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)_clade",NA,NA,"0","0","0","0","0.000387491765799977","0.000702176747918548"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Luminiphilus",NA,NA,"0","0.00192740122068744","0.000972006220839813","0.000955856795272854","0.0032936800092998","0.000100310963988364"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Parahaliea",NA,NA,"0.00680272108843537","0.0191133954384838","0.0181765163297045","0.024330900243309","0.0182121129925989","0.0193600160497542"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus",NA,NA,"0.00476190476190476","0.00610343719884356","0.0031104199066874","0.00321515467500869","0.0292556283178982","0.0290901795566255"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Kineobactrum",NA,NA,"0.000340136054421769","0.0008030838419531","0.000486003110419907","0.00156412930135558","0.00449490448327973","0.00190590831577891"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Marimicrobium",NA,NA,"0.000680272108843537","0.0040154192097655","0.000972006220839813","0.00156412930135558","0.00747859107993955","0.0036111947035811"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Pseudohaliea",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Haliea",NA,NA,"0","0.00048185030517186","0.000388802488335925","0.000434480361487661","0.000387491765799977","0.000100310963988364"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7_clade",NA,NA,"0","0","0","0","0.00050373929553997","0.00120373156786037"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae","Pseudohongiella",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Cobetia",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella",NA,NA,"0","0","0","0","0.00116247529739993","0.00662052362323202"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea",NA,NA,"0","0","0","0.000260688216892596","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aestuariibacter",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas",NA,NA,"0","0","0","0","3.87491765799977e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Lelliottia",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Leclercia",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Ferrimonas",NA,NA,"0","0.00032123353678124","0","0","0.000309993412639981","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Moritellaceae","Paramoritella",NA,NA,"0.00476190476190476","0.00224863475746868","0.000194401244167963","0","0.00100747859107994","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",NA,NA,"0.0397959183673469","0.00256986829424992","0.00554043545878694","0.00399721932568648","0.00569612895725966","0.00551710301936002"
"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Aliivibrio",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",NA,NA,"0","0","0","0","3.87491765799977e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Grimontia",NA,NA,"0","0.00032123353678124","0","0","0.000348742589219979","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium",NA,NA,"0","0.00048185030517186","0","0.000347584289190129","0.0017049637695199","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",NA,NA,"0","0.0008030838419531","0.000291601866251944","0","3.87491765799977e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter",NA,NA,"0.0442176870748299","0","0","0","0.000232495059479986","0"
