"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22",NA,NA,NA,NA,"0","0","0","0","8.82352941176471e-05","0"
"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria",NA,NA,NA,NA,"0","0","0","0","0","0"
"Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)",NA,NA,NA,NA,"0","0","0","0","0","0"
"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA,NA,"0","0.003375","8.33333333333333e-05","0.000625","0.00185294117647059","8.33333333333333e-05"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales",NA,NA,NA,NA,"0.00275","0","0","6.25e-05","0","0.000333333333333333"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",NA,NA,NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA,NA,NA,"0.00075","0","0","0","0.00108823529411765","0.00308333333333333"
"Bacteria","Proteobacteria","Gammaproteobacteria","HOC36",NA,NA,NA,NA,"0","0.00075","8.33333333333333e-05","0","0.000735294117647059","0.00025"
"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales",NA,NA,NA,NA,"0","0","0","0","5.88235294117647e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade",NA,NA,NA,NA,"0","0","0","0","8.82352941176471e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","KI89A_clade",NA,NA,NA,NA,"0.00025","0.002","0.00175","0.000875","0.00311764705882353","0.00266666666666667"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales",NA,NA,NA,NA,"0","0","0","0","0","0.00025"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales",NA,NA,NA,NA,"0.00925","0.026875","0.0211666666666667","0.023375","0.0513529411764706","0.0510833333333333"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales",NA,NA,NA,NA,"0.0035","0.002","0.000166666666666667","0.0001875","0.002","0.0055"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales",NA,NA,NA,NA,"0.03475","0.002625","0.00475","0.003125","0.00608823529411765","0.00466666666666667"
"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales",NA,NA,NA,NA,"0","0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales",NA,NA,NA,NA,"0.0325","0.00075","0.00025","0","0.00132352941176471","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales",NA,NA,NA,NA,"0.00025","0.018","0.00366666666666667","0.0111875","0.0168529411764706","0.00683333333333333"
"Bacteria","Proteobacteria","Gammaproteobacteria","BD7-8",NA,NA,NA,NA,"0","0.000125","0","6.25e-05","0.000852941176470588","0.000916666666666667"
"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis",NA,NA,NA,NA,"0.0095","0.02575","0.03325","0.0633125","0.0313529411764706","0.02525"
"Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353_marine_group",NA,NA,NA,NA,"0.001","0.001125","0.000166666666666667","0.001875","0.00397058823529412","0.000916666666666667"
"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales",NA,NA,NA,NA,"0","0.00075","0","0.0003125","0.000676470588235294","0.00125"
"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales",NA,NA,NA,NA,"0","0","0","0","0","0.000166666666666667"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales",NA,NA,NA,NA,"0","0","0","0","0.000117647058823529","0.000166666666666667"
"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",NA,NA,NA,NA,"0","0","0","0","0.000264705882352941","8.33333333333333e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","D90",NA,NA,NA,NA,"0","0.000375","0","0","0.000882352941176471","0.00183333333333333"
"Bacteria","Proteobacteria","Gammaproteobacteria","pItb-vmat-80",NA,NA,NA,NA,"0","0","0","0","0.000441176470588235","0.000166666666666667"
"Bacteria","Proteobacteria","Gammaproteobacteria","Tenderiales",NA,NA,NA,NA,"0.00175","0.009625","0.00275","0.0163125","0.0198235294117647","0.0158333333333333"
