"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Patescibacteria",NA,NA,NA,NA,NA,NA,"0","0.003375","8.33333333333333e-05","0.000625","0.00194117647058824","8.33333333333333e-05"
"Bacteria","Epsilonbacteraeota",NA,NA,NA,NA,NA,NA,"0.00275","0","0","6.25e-05","0","0.000333333333333333"
"Bacteria","Deinococcus-Thermus",NA,NA,NA,NA,NA,NA,"0","0.000125","5e-04","0","0.0015","0.00183333333333333"
"Bacteria","Calditrichaeota",NA,NA,NA,NA,NA,NA,"0","0","0","0","2.94117647058824e-05","0"
"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA,NA,"0.21975","0.321625","0.326666666666667","0.3951875","0.247764705882353","0.355333333333333"
"Bacteria","Kiritimatiellaeota",NA,NA,NA,NA,NA,NA,"0","0.00025","0.001","0","2.94117647058824e-05","8.33333333333333e-05"
"Bacteria","Latescibacteria",NA,NA,NA,NA,NA,NA,"0","0","0","0","8.82352941176471e-05","0"
"Bacteria","Spirochaetes",NA,NA,NA,NA,NA,NA,"0.00475","0","0","0","5e-04","0.000916666666666667"
"Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA,"0.594","0.519125","0.569916666666667","0.4875625","0.624176470588235","0.542416666666667"
"Bacteria","Acidobacteria",NA,NA,NA,NA,NA,NA,"5e-04","0.000375","0","0","0.000911764705882353","0.00175"
"Bacteria","Actinobacteria",NA,NA,NA,NA,NA,NA,"0.0175","0.0235","0.00675","0.008125","0.0255294117647059","0.0200833333333333"
"Bacteria","Chlamydiae",NA,NA,NA,NA,NA,NA,"0","0","0","0","0.000176470588235294","0"
"Bacteria","Planctomycetes",NA,NA,NA,NA,NA,NA,"0.014","0.0295","0.0398333333333333","0.062375","0.0325","0.02275"
"Bacteria","Chloroflexi",NA,NA,NA,NA,NA,NA,"0","0.00125","0.000166666666666667","6.25e-05","0.00717647058823529","0.00208333333333333"
"Bacteria","Verrucomicrobia",NA,NA,NA,NA,NA,NA,"0.019","0.01475","0.0109166666666667","0.0185","0.0315882352941176","0.0294166666666667"
"Bacteria","Lentisphaerae",NA,NA,NA,NA,NA,NA,"0","0","0","0","5.88235294117647e-05","0"
"Bacteria","Dadabacteria",NA,NA,NA,NA,NA,NA,"0.00825","0.002375","0.000583333333333333","0.00125","0.00947058823529412","0.005"
"Bacteria","Deferribacteres",NA,NA,NA,NA,NA,NA,"0.00625","0","0","0","0","0"
"Bacteria","Fusobacteria",NA,NA,NA,NA,NA,NA,"5e-04","0.000875","0.00025","0","0.00123529411764706","0.000583333333333333"
"Bacteria","Tenericutes",NA,NA,NA,NA,NA,NA,"0.0155","5e-04","0","0","0","0"
"Bacteria","Firmicutes",NA,NA,NA,NA,NA,NA,"0.09575","0.006125","0.008","0.004625","0.00908823529411765","0.00116666666666667"
"Bacteria","Cyanobacteria",NA,NA,NA,NA,NA,NA,"0.0015","0.07625","0.0353333333333333","0.021625","0.00623529411764706","0.0161666666666667"
