"Class","unique","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Acidimicrobiia","Acidimicrobiia","1.75","2.34","0.68","0.81","2.53","2.01"
"Alphaproteobacteria","Alphaproteobacteria","33.58","41.61","47.32","34.14","43.04","39.5"
"Anaerolineae","Anaerolineae","0","0.12","0.02","0.01","0.72","0.21"
"Bacilli","Bacilli","0.45","0","0.2","0.03","0.61","0"
"Bacteroidia","Bacteroidia","21.85","32.12","31.89","39.38","24.7","35.53"
"Clostridia","Clostridia","7.38","0.6","0.6","0.43","0.3","0.12"
"Dadabacteriia","Dadabacteriia","0.83","0.24","0.06","0.12","0.95","0.5"
"Deferribacteres","Deferribacteres","0.62","0","0","0","0","0"
"Deinococci","Deinococci","0","0.01","0.05","0","0.15","0.18"
"Deltaproteobacteria","Deltaproteobacteria","15.93","0.36","1.62","1.96","2.91","0.9"
"Erysipelotrichia","Erysipelotrichia","1.75","0.01","0","0.01","0","0"
"Fusobacteriia","Fusobacteriia","0.05","0.09","0.03","0","0.12","0.06"
"Gammaproteobacteria","Gammaproteobacteria","9.9","9.94","8.05","12.65","16.47","13.84"
"Mollicutes","Mollicutes","1.55","0.05","0","0","0","0"
"Other","Other","0.55","0.07","0.1","0.02","0.26","0.39"
"Oxyphotobacteria","Oxyphotobacteria","0.15","7.62","3.53","2.16","0.61","1.55"
"Planctomycetacia","Planctomycetacia","1.4","2.95","3.98","6.22","3.21","2.26"
"Rhodothermia","Rhodothermia","0","0.04","0.78","0.14","0.07","0"
"Saccharimonadia","Saccharimonadia","0","0.34","0.01","0.06","0.19","0.01"
"Spirochaetia","Spirochaetia","0.38","0","0","0","0.02","0"
"Verrucomicrobiae","Verrucomicrobiae","1.9","1.47","1.09","1.85","3.16","2.94"
