"Family","unique","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Cyclobacteriaceae","Cyclobacteriaceae","1.6","5.4","8.09","16.69","3.23","3.14"
"Desulfovibrionaceae","Desulfovibrionaceae","14.86","0","0","0.07","0.06","0.09"
"Flavobacteriaceae","Flavobacteriaceae","12.88","22.78","22.08","21.79","17.2","28.58"
"Halieaceae","Halieaceae","0.95","2.73","2.13","2.35","5.28","5.02"
"Hyphomicrobiaceae","Hyphomicrobiaceae","0.23","0.58","0.85","0.49","2.1","1.11"
"Hyphomonadaceae","Hyphomonadaceae","0.36","1.31","2.94","3.59","1.93","2.89"
"Microtrichaceae","Microtrichaceae","1.42","1.92","0.33","0.52","2.23","1.33"
"Oscillatoriaceae","Oscillatoriaceae","0","4.65","0","0","0","0"
"Other","Other","19.5","6.24","8.46","6.25","10.23","7.7"
"Pirellulaceae","Pirellulaceae","1.44","2.8","3.99","6.22","3.24","2.28"
"Rhizobiaceae","Rhizobiaceae","1.44","1.01","1.44","1.67","1.57","1.93"
"Rhodobacteraceae","Rhodobacteraceae","29.8","33.71","35.17","25.67","32.48","27.01"
"Rikenellaceae","Rikenellaceae","5.59","0.32","0.04","0.01","0.05","0.01"
"Rubritaleaceae","Rubritaleaceae","1.65","1.32","0.64","1.35","2.5","2.28"
"Saprospiraceae","Saprospiraceae","0.54","3.78","1.56","1","4.35","4.17"
"Sphingomonadaceae","Sphingomonadaceae","2.52","5.09","6.58","2.34","4.17","5.77"
"Tenderiaceae","Tenderiaceae","0.18","0.98","0.28","1.64","2.06","1.62"
"Thiohalorhabdaceae","Thiohalorhabdaceae","0.03","1.83","0.37","1.12","1.75","0.7"
"Unknown_Family","Unknown_Family","0.98","2.61","3.34","6.36","3.26","2.58"
"Vibrionaceae","Vibrionaceae","3.58","0.27","0.48","0.31","0.63","0.48"
"Woeseiaceae","Woeseiaceae","0.46","0.67","1.26","0.56","1.67","1.33"
