"Genus","unique","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Actibacter","Actibacter","1.7","5.04","3.22","2.02","4.25","5"
"Actibacterium","Actibacterium","1.6","3.26","2.57","2.56","3.01","2.24"
"Candidatus_Tenderia","Candidatus_Tenderia","0.24","1.24","0.32","2.27","2.61","1.91"
"Desulfovibrio","Desulfovibrio","9.22","0","0","0.03","0.05","0.11"
"Erythrobacter","Erythrobacter","2.69","4.61","7.01","2.96","2.91","3.22"
"Fulvivirga","Fulvivirga","0.82","2.54","6.37","6.9","0.7","1.66"
"Halioglobus","Halioglobus","0.48","0.61","0.31","0.32","2.93","2.91"
"Hyphomonas","Hyphomonas","0.31","1.28","2.6","4.01","1.88","2.11"
"Lutimonas","Lutimonas","2.31","1.83","0.04","0.23","0.35","4.67"
"Muricauda","Muricauda","1.22","1.78","4.66","1.82","2.14","0.39"
"Other","Other","54.86","48.28","39.23","34.16","53.81","48.38"
"Parahaliea","Parahaliea","0.68","1.91","1.82","2.43","1.82","1.94"
"Primorskyibacter","Primorskyibacter","0.2","1.38","0.06","0.1","2.46","4.8"
"Pseudoruegeria","Pseudoruegeria","8.27","5.75","3.85","2.64","3.51","2.73"
"Robiginitalea","Robiginitalea","1.09","2.96","6.02","7.74","2.31","0.66"
"Rubripirellula","Rubripirellula","1.02","1.16","1.92","4.61","1.62","1.15"
"Ruegeria","Ruegeria","6.53","4.83","3.73","4.66","4.42","2.69"
"Shimia","Shimia","0.95","0.42","4.98","1.96","1.28","1.02"
"Sulfitobacter","Sulfitobacter","0.75","3.49","4.45","5.47","2.47","2.45"
"Winogradskyella","Winogradskyella","4.46","6.78","5.39","12.35","3.36","8.41"
"Woeseia","Woeseia","0.61","0.85","1.46","0.77","2.11","1.56"
