"Order","unique","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteroidales","Bacteroidales","6.42","0.31","0.04","0.01","0.09","0.06"
"Caulobacterales","Caulobacterales","0.35","1.38","2.95","3.73","2.02","3.29"
"Cellvibrionales","Cellvibrionales","0.92","2.69","2.12","2.34","5.14","5.11"
"Chitinophagales","Chitinophagales","0.52","3.75","1.58","0.99","4.33","4.11"
"Clostridiales","Clostridiales","7.38","0.6","0.6","0.43","0.3","0.12"
"Cytophagales","Cytophagales","1.55","5.41","8.06","16.61","3.38","3.12"
"Desulfovibrionales","Desulfovibrionales","14.42","0","0","0.07","0.06","0.09"
"Flavobacteriales","Flavobacteriales","13.35","22.64","22.21","21.77","16.86","28.19"
"Gammaproteobacteria_Incertae_Sedis","Gammaproteobacteria_Incertae_Sedis","0.95","2.57","3.33","6.33","3.14","2.53"
"Microtrichales","Microtrichales","1.52","2.28","0.65","0.81","2.44","1.96"
"Nostocales","Nostocales","0","7.27","2.78","1.56","0.28","0.32"
"Other","Other","12.17","3.01","3.97","3.43","10.11","6.3"
"Pirellulales","Pirellulales","1.4","2.76","3.98","6.19","3.12","2.22"
"Rhizobiales","Rhizobiales","1.62","1.93","2.72","2.41","4.49","3.57"
"Rhodobacterales","Rhodobacterales","28.92","33.23","35.02","25.53","31.24","26.42"
"Sphingomonadales","Sphingomonadales","2.45","5.01","6.55","2.33","4.01","5.64"
"Steroidobacterales","Steroidobacterales","0.45","0.66","1.25","0.56","1.6","1.3"
"Tenderiales","Tenderiales","0.18","0.96","0.27","1.63","1.98","1.58"
"Thiohalorhabdales","Thiohalorhabdales","0.03","1.8","0.37","1.12","1.69","0.68"
"Verrucomicrobiales","Verrucomicrobiales","1.9","1.47","1.09","1.85","3.14","2.93"
"Vibrionales","Vibrionales","3.48","0.26","0.48","0.31","0.61","0.47"
