"Phylum","unique","Levantine_Sea_Autumn","Levantine_Sea_Spring","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Acidobacteria","Acidobacteria","0.05","0.04","0","0","0.09","0.18"
"Actinobacteria","Actinobacteria","1.75","2.35","0.68","0.81","2.55","2.01"
"Bacteroidetes","Bacteroidetes","21.98","32.16","32.67","39.52","24.78","35.53"
"Chlamydiae","Chlamydiae","0","0","0","0","0.02","0"
"Chloroflexi","Chloroflexi","0","0.12","0.02","0.01","0.72","0.21"
"Cyanobacteria","Cyanobacteria","0.15","7.62","3.53","2.16","0.62","1.62"
"Dadabacteria","Dadabacteria","0.83","0.24","0.06","0.12","0.95","0.5"
"Deferribacteres","Deferribacteres","0.62","0","0","0","0","0"
"Deinococcus-Thermus","Deinococcus-Thermus","0","0.01","0.05","0","0.15","0.18"
"Epsilonbacteraeota","Epsilonbacteraeota","0.27","0","0","0.01","0","0.03"
"Firmicutes","Firmicutes","9.57","0.61","0.8","0.46","0.91","0.12"
"Fusobacteria","Fusobacteria","0.05","0.09","0.03","0","0.12","0.06"
"Kiritimatiellaeota","Kiritimatiellaeota","0","0.03","0.1","0","0","0.01"
"Latescibacteria","Latescibacteria","0","0","0","0","0.01","0"
"Other","Other","0","0","0","0","0.01","0"
"Patescibacteria","Patescibacteria","0","0.34","0.01","0.06","0.19","0.01"
"Planctomycetes","Planctomycetes","1.4","2.95","3.98","6.24","3.25","2.28"
"Proteobacteria","Proteobacteria","59.4","51.91","56.99","48.76","62.42","54.24"
"Spirochaetes","Spirochaetes","0.48","0","0","0","0.05","0.09"
"Tenericutes","Tenericutes","1.55","0.05","0","0","0","0"
"Verrucomicrobia","Verrucomicrobia","1.9","1.47","1.09","1.85","3.16","2.94"
