"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea_Autumn","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Patescibacteria","Parcubacteria",NA,NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Patescibacteria","Gracilibacteria",NA,NA,NA,NA,NA,"0.000333333333333333","0","0","5e-05","0"
"Bacteria","Patescibacteria","Saccharimonadia",NA,NA,NA,NA,NA,"0","0.000125","0","0","0"
"Bacteria","Epsilonbacteraeota","Campylobacteria",NA,NA,NA,NA,NA,"0.000666666666666667","0.000875","0","0","0.00025"
"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA,"0.0921666666666667","0.0906875","0.238333333333333","0.12825","0.05285"
"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,NA,"0.2345","0.464625","0.40975","0.44255","0.2618"
"Bacteria","Deinococcus-Thermus","Deinococci",NA,NA,NA,NA,NA,"0.00116666666666667","0.0003125","0","5e-05","0.00015"
"Bacteria","Calditrichaeota","Calditrichia",NA,NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA,NA,NA,"0.333166666666667","0.1604375","0.183583333333333","0.27165","0.46965"
"Bacteria","Bacteroidetes","Rhodothermia",NA,NA,NA,NA,NA,"0","0","0","0.01945","0.0315"
"Bacteria","Bacteroidetes","Ignavibacteria",NA,NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Kiritimatiellaeota","Kiritimatiellae",NA,NA,NA,NA,NA,"0.000166666666666667","0.000625","0.000916666666666667","0.00275","0.0012"
"Bacteria","Latescibacteria","Latescibacteria",NA,NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Spirochaetes","Spirochaetia",NA,NA,NA,NA,NA,"0","6.25e-05","0","0","1e-04"
"Bacteria","Spirochaetes","Brachyspirae",NA,NA,NA,NA,NA,"0","6.25e-05","0","0","0"
"Bacteria","Spirochaetes","Leptospirae",NA,NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria",NA,NA,NA,NA,NA,"0.00391666666666667","0.0040625","0.000166666666666667","0.00305","0.02065"
"Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)",NA,NA,NA,NA,NA,"0","0","0","3e-04","0"
"Bacteria","Acidobacteria","Acidobacteriia",NA,NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Acidobacteria","Thermoanaerobaculia",NA,NA,NA,NA,NA,"0","0","0","5e-05","0"
"Bacteria","Actinobacteria","Acidimicrobiia",NA,NA,NA,NA,NA,"0.0533333333333333","0.0995625","0.03175","0.02895","0.01305"
"Bacteria","Actinobacteria","Actinobacteria",NA,NA,NA,NA,NA,"0.000333333333333333","0","0","0.00115","0.00015"
"Bacteria","Actinobacteria","Thermoleophilia",NA,NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Chlamydiae","Chlamydiae",NA,NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Planctomycetes","Planctomycetacia",NA,NA,NA,NA,NA,"0.0015","0.0024375","0","7e-04","5e-04"
"Bacteria","Planctomycetes","Phycisphaerae",NA,NA,NA,NA,NA,"0","6.25e-05","0","0.00025","0"
"Bacteria","Chloroflexi","Anaerolineae",NA,NA,NA,NA,NA,"0","0.0001875","0","0","0.00015"
"Bacteria","Verrucomicrobia","Verrucomicrobiae",NA,NA,NA,NA,NA,"0.00641666666666667","0.0023125","0.000416666666666667","0.01055","0.008"
"Bacteria","Chloroflexi","Dehalococcoidia",NA,NA,NA,NA,NA,"0.0015","0.0008125","0","0","0"
"Bacteria","Lentisphaerae","Lentisphaeria",NA,NA,NA,NA,NA,"0","0.0003125","0","5e-04","1e-04"
"Bacteria","Dadabacteria","Dadabacteriia",NA,NA,NA,NA,NA,"0.00075","0.0091875","5e-04","1e-04","0"
"Bacteria","Deferribacteres","Deferribacteres",NA,NA,NA,NA,NA,"0","0","0","0","0.00195"
"Bacteria","Fusobacteria","Fusobacteriia",NA,NA,NA,NA,NA,"0.00216666666666667","0.001125","0.000833333333333333","0.00095","0.0044"
"Bacteria","Firmicutes","Bacilli",NA,NA,NA,NA,NA,"0.00025","0.0005625","0.000583333333333333","2e-04","2e-04"
"Bacteria","Tenericutes","Mollicutes",NA,NA,NA,NA,NA,"0.00025","6.25e-05","0","5e-05","0.0027"
"Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA,NA,"0.00183333333333333","0.000375","0","0.00095","0.01325"
"Bacteria","Firmicutes","Erysipelotrichia",NA,NA,NA,NA,NA,"0.00025","0","0","0.00015","9e-04"
"Bacteria","Cyanobacteria","Melainabacteria",NA,NA,NA,NA,NA,"0","0","0","5e-05","0"
"Bacteria","Cyanobacteria","Oxyphotobacteria",NA,NA,NA,NA,NA,"0.265333333333333","0.161125","0.133166666666667","0.0873","0.1165"
