"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea_Autumn","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter",NA,NA,"0.000763650248186331","0","0","0","0.00025382321213275"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Sulfurovaceae","Sulfurovum",NA,NA,"0","0.00114754098360656","0","0","6.34558030331874e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Oleiagrimonas",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,NA,"0","0","0.000235432607416127","0.000211133788443944","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Pseudoxanthomonas",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Delftia",NA,NA,"0","0","0.0361389052383755","7.03779294813147e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Hydrogenophaga",NA,NA,"0","0","0.0343731606827546","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Acidovorax",NA,NA,"0","0","0","0","6.34558030331874e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","MWH-UniP1_aquatic_group",NA,NA,"0.00210003818251241","0.00188524590163934","0.000117716303708064","0.00746006052501935","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Curvibacter",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Paraburkholderia",NA,NA,"0.000572737686139748","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Cupriavidus",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Noviherbaspirillum",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Massilia",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Oxalobacter",NA,NA,"0","0","0","0","0.000190367409099562"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Limnobacter",NA,NA,"0","0","0.0143613890523838","0.00471532127524808","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas",NA,NA,"0","0","0","0","0.000126911606066375"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium",NA,NA,"0","0","0.00105944673337257","0.00457456541628545","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","3PJM14",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","CI75cm.2.12",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Porticoccaceae","SAR92_clade",NA,NA,"0","0.00188524590163934","0.00494408475573867","0.000492645506369203","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Saccharospirillaceae","Oleibacter",NA,NA,"0.00190912562046583","0.00377049180327869","0.000470865214832254","0.00302625096769653","0.00025382321213275"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola",NA,NA,"9.54562810232913e-05","0.000491803278688525","0.000117716303708064","0.00907875290308959","0.00634558030331874"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,NA,"0","0","0","0.00140755858962629","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Endozoicomonadaceae","Endozoicomonas",NA,NA,"0","0","0","0.000985291012738405","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Marinomonadaceae","Marinomonas",NA,NA,"0.00257731958762887","0","0","0.000774157224294461","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60(NOR5)_clade",NA,NA,"0.0010500190912562","8.19672131147541e-05","0.00317834020011772","0.00218171581392075","0.00177676248492925"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Luminiphilus",NA,NA,"0.00324551355479191","0.00344262295081967","0.00600353148911124","0.0135829403898937","0.0178310806523257"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Parahaliea",NA,NA,"0","0.000491803278688525","0","0.000281511717925259","0.00114220445459737"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halioglobus",NA,NA,"9.54562810232913e-05","8.19672131147541e-05","0","0.000140755858962629","0.00025382321213275"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Kineobactrum",NA,NA,"0","0.000163934426229508","0","0","6.34558030331874e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Marimicrobium",NA,NA,"0.000190912562046583","0.000245901639344262","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Pseudohaliea",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Haliea",NA,NA,"9.54562810232913e-05","0.000163934426229508","0","7.03779294813147e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Spongiibacteraceae","BD1-7_clade",NA,NA,"0","0.000163934426229508","0","0.000422267576887888","0.000571102227298686"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Pseudohongiellaceae","Pseudohongiella",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",NA,NA,"0","0","0","0.00661552537124358","0.000380734818199124"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Cobetia",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella",NA,NA,"9.54562810232913e-05","0","0","0.000422267576887888","0.00418808300019037"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aestuariibacter",NA,NA,"0","0.000655737704918033","0.000117716303708064","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas",NA,NA,"0.0336006109201986","0.0186065573770492","0.036962919364332","0.0305440213948906","0.00698013833365061"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Klebsiella",NA,NA,"0","0","0","7.03779294813147e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Lelliottia",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Leclercia",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Ferrimonas",NA,NA,"0","0","0","0","0.000126911606066375"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Moritellaceae","Paramoritella",NA,NA,"0.000190912562046583","0.000245901639344262","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",NA,NA,"0.0237686139747995","0.0270491803278689","0.0051795173631548","0.0106974452811598","0.00418808300019037"
"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Aliivibrio",NA,NA,"0","0","0.000235432607416127","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",NA,NA,"0.0077319587628866","0.00975409836065574","0.0173042966450853","0.022591315363502","0.00139602766673012"
"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Grimontia",NA,NA,"0","0","0","0.000351889647406573","6.34558030331874e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium",NA,NA,"0.00286368843069874","0.00122950819672131","0.00141259564449676","0.00147793651910761","0.00025382321213275"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella",NA,NA,"0.00391370752195494","0.000983606557377049","0.0512065921130077","0.00161869237807024","6.34558030331874e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter",NA,NA,"0.000954562810232913","0.000245901639344262","0","0.00555985642902386","0.00342661336379212"
"Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae","Granulosicoccus",NA,NA,"9.54562810232913e-05","0.000245901639344262","0","0.000703779294813147","0.000444190621232312"
"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Marinicella",NA,NA,"0.000286368843069874","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales","Arenicellaceae","Arenicella",NA,NA,"0.000190912562046583","0.00040983606557377","0","0.000422267576887888","0.000317279015165937"
"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Cocleimonas",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Leucothrix",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiothrix",NA,NA,"0","0","0","0","6.34558030331874e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Candidatus_Thiobios",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Tenderiales","Tenderiaceae","Candidatus_Tenderia",NA,NA,"0.000286368843069874","8.19672131147541e-05","0","0.00218171581392075","0.000317279015165937"
"Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Thioalkalispiraceae","Thioprofundum",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Thioalkalispiraceae","Thiohalophilus",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae","Thiogranum",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",NA,NA,"0.000668193967163039","0.000655737704918033","0","0.000563023435850517","0.000190367409099562"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales","Sneathiellaceae","Taonella",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","Candidatus_Bealeia",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Anaplasmataceae","Neorickettsia",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Clade_Ia",NA,NA,"0.0011454753722795","0.00442622950819672","0.0025897586815774","0.00161869237807024","0.000761469636398249"
"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Clade_I","Candidatus",NA,NA,"0.0520236731576938","0.314590163934426","0.308298999411418","0.183545640087269","0.0614252173361254"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Parasphingopyxis",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus",NA,NA,"9.54562810232913e-05","0","0","0.000422267576887888","0.000824925439431436"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter",NA,NA,"0","0","0","0","0.00025382321213275"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Erythromicrobium",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Erythrobacter",NA,NA,"0.00973654066437572","0.00655737704918033","0","0.00619325779435569","0.00329970175772574"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Lutibacterium",NA,NA,"9.54562810232913e-05","0","0","0","0.000317279015165937"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Porphyrobacter",NA,NA,"0","0.000163934426229508","0","0.000422267576887888","0.00025382321213275"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomicrobium",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",NA,NA,"0","0","0","0.000281511717925259","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Filomicrobium",NA,NA,"0.000381825124093165","0.000163934426229508","0","0.000492645506369203","0.00025382321213275"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA,NA,"0","0","0","0","0"
