"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea_Autumn","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Patescibacteria","Gracilibacteria","JGI_0000069-P22",NA,NA,NA,NA,"0.000333333333333333","0","0","0","0"
"Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)",NA,NA,NA,NA,"0","0","0","5e-05","0"
"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA,NA,NA,"0","0.000125","0","0","0"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales",NA,NA,NA,NA,"0.000666666666666667","0.000875","0","0","0.00025"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales",NA,NA,NA,NA,"0","0","0.000166666666666667","0.00015","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA,NA,NA,"0.00233333333333333","0.0014375","0.0609166666666667","0.012","0.00035"
"Bacteria","Proteobacteria","Gammaproteobacteria","HOC36",NA,NA,NA,NA,"0","0","0","5e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","SAR86_clade",NA,NA,NA,NA,"0.00841666666666667","0.0253125","0.0700833333333333","0.02735","0.0102"
"Bacteria","Proteobacteria","Gammaproteobacteria","KI89A_clade",NA,NA,NA,NA,"5e-04","0.001625","0.00133333333333333","0.00335","0.00185"
"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales",NA,NA,NA,NA,"0.004","0.00325","0.00425","0.01545","0.0055"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales",NA,NA,NA,NA,"0.00408333333333333","0.0051875","0.01","0.0122","0.01705"
"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales",NA,NA,NA,NA,"0.0395833333333333","0.0235","0.04975","0.0386","0.01"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales",NA,NA,NA,NA,"0","0","0","5e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales",NA,NA,NA,NA,"0.02675","0.024625","0.00483333333333333","0.00945","0.0037"
"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales",NA,NA,NA,NA,"0.00425","0.0009375","0.03625","0.0061","0.00275"
"Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales",NA,NA,NA,NA,"0.000166666666666667","0.0001875","0","5e-04","0.00035"
"Bacteria","Proteobacteria","Gammaproteobacteria","BD7-8",NA,NA,NA,NA,"0","0","0","2e-04","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis",NA,NA,NA,NA,"0.00075","0.0020625","0","3e-04","1e-04"
"Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353_marine_group",NA,NA,NA,NA,"8.33333333333333e-05","6.25e-05","0","5e-05","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Arenicellales",NA,NA,NA,NA,"0.000166666666666667","0.0003125","0","3e-04","0.00025"
"Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales",NA,NA,NA,NA,"0","0.0014375","0.00075","0","2e-04"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","D90",NA,NA,NA,NA,"0","0","0","0","5e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","pItb-vmat-80",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Tenderiales",NA,NA,NA,NA,"0.00025","6.25e-05","0","0.00155","0.00025"
"Bacteria","Proteobacteria","Gammaproteobacteria","JTB23",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","B2M28",NA,NA,NA,NA,"8.33333333333333e-05","0.0001875","0","0.00015","5e-05"
"Bacteria","Proteobacteria","Gammaproteobacteria","UBA4486",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Ga0077536",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","AT-s2-59",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales",NA,NA,NA,NA,"0.000583333333333333","5e-04","0","4e-04","2e-04"
"Bacteria","Proteobacteria","Gammaproteobacteria","SZB50",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Gammaproteobacteria","EPR3968-O8a-Bc78",NA,NA,NA,NA,"0.000166666666666667","0","0","5e-05","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodovibrionales",NA,NA,NA,NA,"0","6.25e-05","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sneathiellales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales",NA,NA,NA,NA,"0.006","0.0234375","0.0290833333333333","0.03845","0.01925"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,NA,"0.0085","0.0201875","0.0561666666666667","0.04345","0.0142"
"Bacteria","Proteobacteria","Alphaproteobacteria","Micavibrionales",NA,NA,NA,NA,"0","0.000125","0","0.00085","0.00095"
"Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales",NA,NA,NA,NA,"0","0","0","5e-05","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales",NA,NA,NA,NA,"0","0","0","0.00015","1e-04"
"Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade",NA,NA,NA,NA,"0.054","0.324","0.266916666666667","0.2184","0.0598"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales",NA,NA,NA,NA,"0.00866666666666667","0.005125","0","0.00505","0.004"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales",NA,NA,NA,NA,"0.000833333333333333","0.0020625","0","0.00095","0.00045"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales",NA,NA,NA,NA,"0.149916666666667","0.076625","0.05175","0.11945","0.14615"
"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales",NA,NA,NA,NA,"0.00533333333333333","0.002875","0","0.00205","0.0051"
"Bacteria","Proteobacteria","Alphaproteobacteria","Caedibacterales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales",NA,NA,NA,NA,"8.33333333333333e-05","0.0004375","0","0.0058","0.0107"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA,NA,NA,"0.00116666666666667","0.0096875","0.00583333333333333","0.0079","0.0011"
"Bacteria","Proteobacteria","Deltaproteobacteria","Bradymonadales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","NB1-j",NA,NA,NA,NA,"0","0","0","1e-04","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Sva0485",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales",NA,NA,NA,NA,"0.000583333333333333","0.001375","0.000166666666666667","0.00015","0.00015"
"Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfarculales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Rs-K70_termite_group",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,NA,"0.00025","0.0003125","0","5e-05","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales",NA,NA,NA,NA,"0","0","0","5e-05","0"
"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales",NA,NA,NA,NA,"0.00116666666666667","0.0003125","0","5e-05","0.00015"
"Bacteria","Calditrichaeota","Calditrichia","Calditrichales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales",NA,NA,NA,NA,"0.00216666666666667","0.01075","0.0131666666666667","0.00385","0.00385"
"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales",NA,NA,NA,NA,"0.0075","0.002875","0.00666666666666667","0.00455","0.01875"
"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales",NA,NA,NA,NA,"0.00025","0.0005625","0","0.0087","0.0392"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,NA,NA,"0.00391666666666667","0.0014375","0.00025","0.0028","0.0127"
"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales",NA,NA,NA,NA,"0.319333333333333","0.1448125","0.1635","0.25175","0.39515"
"Bacteria","Bacteroidetes","Rhodothermia","Rhodothermales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Bacteroidetes","Rhodothermia","Balneolales",NA,NA,NA,NA,"0","0","0","0.01945","0.0315"
"Bacteria","Bacteroidetes","Ignavibacteria","Kryptoniales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Bacteroidetes","Ignavibacteria","Ignavibacteriales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Kiritimatiellaeota","Kiritimatiellae","WCHB1-41",NA,NA,NA,NA,"0","0","0","0","5e-05"
"Bacteria","Kiritimatiellaeota","Kiritimatiellae","Kiritimatiellales",NA,NA,NA,NA,"0.000166666666666667","0.000625","0.000916666666666667","0.00275","0.00115"
"Bacteria","Latescibacteria","Latescibacteria","Latescibacterales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Spirochaetes","Spirochaetia","Spirochaetales",NA,NA,NA,NA,"0","6.25e-05","0","0","0"
"Bacteria","Spirochaetes","Brachyspirae","Brachyspirales",NA,NA,NA,NA,"0","6.25e-05","0","0","0"
"Bacteria","Spirochaetes","Spirochaetia","Brevinematales",NA,NA,NA,NA,"0","0","0","0","1e-04"
"Bacteria","Spirochaetes","Leptospirae","Leptospirales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)",NA,NA,NA,NA,"0","0.0023125","0","0.0018","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales",NA,NA,NA,NA,"0.00308333333333333","6.25e-05","0","9e-04","0.0205"
"Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","11-24",NA,NA,NA,NA,"0","0","0","3e-04","0"
"Bacteria","Acidobacteria","Acidobacteriia","Solibacterales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Acidobacteria","Thermoanaerobaculia","Thermoanaerobaculales",NA,NA,NA,NA,"0","0","0","5e-05","0"
"Bacteria","Actinobacteria","Acidimicrobiia","Actinomarinales",NA,NA,NA,NA,"0.0520833333333333","0.0989375","0.0316666666666667","0.02815","0.01255"
"Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales",NA,NA,NA,NA,"0.00125","0.000625","8.33333333333333e-05","8e-04","5e-04"
"Bacteria","Actinobacteria","Actinobacteria","Frankiales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Actinobacteria","Actinobacteria","Micrococcales",NA,NA,NA,NA,"0.000333333333333333","0","0","0.00115","0.00015"
"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales",NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Chlamydiae","Chlamydiae","Chlamydiales",NA,NA,NA,NA,"0","0","0","0","0"
