"Domain","Phylum","Class","Order","Family","Genus","Species","ASV","Levantine_Sea_Autumn","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Bacteria","Patescibacteria",NA,NA,NA,NA,NA,NA,"0.000333333333333333","0.000125","0","5e-05","0"
"Bacteria","Epsilonbacteraeota",NA,NA,NA,NA,NA,NA,"0.000666666666666667","0.000875","0","0","0.00025"
"Bacteria","Deinococcus-Thermus",NA,NA,NA,NA,NA,NA,"0.00116666666666667","0.0003125","0","5e-05","0.00015"
"Bacteria","Calditrichaeota",NA,NA,NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Bacteroidetes",NA,NA,NA,NA,NA,NA,"0.333166666666667","0.1604375","0.183583333333333","0.2911","0.50115"
"Bacteria","Kiritimatiellaeota",NA,NA,NA,NA,NA,NA,"0.000166666666666667","0.000625","0.000916666666666667","0.00275","0.0012"
"Bacteria","Latescibacteria",NA,NA,NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Spirochaetes",NA,NA,NA,NA,NA,NA,"0","0.000125","0","0","1e-04"
"Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA,"0.330583333333333","0.559375","0.64825","0.57385","0.3353"
"Bacteria","Acidobacteria",NA,NA,NA,NA,NA,NA,"0","0","0","0.00035","0"
"Bacteria","Actinobacteria",NA,NA,NA,NA,NA,NA,"0.0536666666666667","0.0995625","0.03175","0.0301","0.0132"
"Bacteria","Chlamydiae",NA,NA,NA,NA,NA,NA,"0","0","0","0","0"
"Bacteria","Planctomycetes",NA,NA,NA,NA,NA,NA,"0.0015","0.0025","0","0.00095","5e-04"
"Bacteria","Chloroflexi",NA,NA,NA,NA,NA,NA,"0.0015","0.001","0","0","0.00015"
"Bacteria","Verrucomicrobia",NA,NA,NA,NA,NA,NA,"0.00641666666666667","0.0023125","0.000416666666666667","0.01055","0.008"
"Bacteria","Lentisphaerae",NA,NA,NA,NA,NA,NA,"0","0.0003125","0","5e-04","1e-04"
"Bacteria","Dadabacteria",NA,NA,NA,NA,NA,NA,"0.00075","0.0091875","5e-04","1e-04","0"
"Bacteria","Deferribacteres",NA,NA,NA,NA,NA,NA,"0","0","0","0","0.00195"
"Bacteria","Fusobacteria",NA,NA,NA,NA,NA,NA,"0.00216666666666667","0.001125","0.000833333333333333","0.00095","0.0044"
"Bacteria","Tenericutes",NA,NA,NA,NA,NA,NA,"0.00025","6.25e-05","0","5e-05","0.0027"
"Bacteria","Firmicutes",NA,NA,NA,NA,NA,NA,"0.00233333333333333","0.0009375","0.000583333333333333","0.0013","0.01435"
"Bacteria","Cyanobacteria",NA,NA,NA,NA,NA,NA,"0.265333333333333","0.161125","0.133166666666667","0.08735","0.1165"
