"Family","unique","Levantine_Sea_Autumn","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Actinomarinaceae","Actinomarinaceae","5.27","10.3","3.44","2.92","1.27"
"AEGEAN-169_marine_group","AEGEAN-169_marine_group","0.86","2.1","6.1","4.49","1.44"
"Alteromonadaceae","Alteromonadaceae","3.3","1.65","4.07","2.3","0.56"
"Balneolaceae","Balneolaceae","0","0","0","2.01","3.2"
"Burkholderiaceae","Burkholderiaceae","0.24","0.15","6.61","1.24","0.04"
"Clade_I","Clade_I","4.7","25.33","23.89","13.62","4.98"
"Clade_II","Clade_II","0.69","7.35","4.07","6.03","0.9"
"Cryomorphaceae","Cryomorphaceae","3.7","0.16","2.57","2.74","2.05"
"Cyanobiaceae","Cyanobiaceae","26.87","16.46","14.45","9.04","11.82"
"Cyclobacteriaceae","Cyclobacteriaceae","0.22","1.07","1.43","0.11","0.39"
"Flavobacteriaceae","Flavobacteriaceae","27.21","13.64","13.1","22.81","37.22"
"Halieaceae","Halieaceae","0.41","0.38","0.71","1.2","1.69"
"Moraxellaceae","Moraxellaceae","0.43","0.1","3.93","0.53","0.28"
"NS11-12_marine_group","NS11-12_marine_group","0.03","0.06","0","0.89","3.98"
"NS9_marine_group","NS9_marine_group","0.78","0.96","1.73","0.4","0.72"
"Other","Other","5.42","6.24","3.29","10.24","10.3"
"Pseudoalteromonadaceae","Pseudoalteromonadaceae","0.68","0.77","1.33","1.66","0.11"
"Rhodobacteraceae","Rhodobacteraceae","15.18","7.98","5.62","12.37","14.85"
"Saprospiraceae","Saprospiraceae","0.68","0.29","0","0.44","1.87"
"SAR116_clade","SAR116_clade","0.61","2.44","3.16","3.98","1.96"
"Vibrionaceae","Vibrionaceae","2.71","2.56","0.52","0.98","0.38"
