"Genus","unique","Levantine_Sea_Autumn","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Aliishimia","Aliishimia","10.64","1.09","2.94","8.76","8.03"
"Alteromonas","Alteromonas","3.36","1.86","3.7","3.05","0.7"
"Aquibacter","Aquibacter","2.73","2.16","1.09","0.01","0"
"Balneola","Balneola","0","0","0","1.87","2.78"
"Candidatus","Candidatus","5.2","31.46","30.83","18.35","6.14"
"Candidatus_Actinomarina","Candidatus_Actinomarina","5.97","12.98","4.47","3.96","1.59"
"Delftia","Delftia","0","0","3.61","0.01","0"
"Erythrobacter","Erythrobacter","0.97","0.66","0","0.62","0.33"
"Hydrogenophaga","Hydrogenophaga","0","0","3.44","0","0"
"Luminiphilus","Luminiphilus","0.32","0.34","0.6","1.36","1.78"
"Marimonas","Marimonas","0.27","0.48","1.81","0.05","0.06"
"Mesoflavibacter","Mesoflavibacter","0.88","0.82","0.92","1.59","0.04"
"Moraxella","Moraxella","0.39","0.1","5.12","0.16","0.01"
"NS4_marine_group","NS4_marine_group","4.47","3.29","7.2","11.32","30.03"
"NS5_marine_group","NS5_marine_group","15.49","5.24","4.05","13.93","13.13"
"Other","Other","14.17","13.08","8.78","16.76","16.89"
"Prochlorococcus","Prochlorococcus","30.39","20.07","17.72","12.2","14.63"
"Pseudoalteromonas","Pseudoalteromonas","0.77","0.98","1.73","2.26","0.14"
"Sulfitobacter","Sulfitobacter","0.1","0.16","0","1.91","2.97"
"Vibrio","Vibrio","2.38","2.7","0.52","1.07","0.42"
"Winogradskyella","Winogradskyella","1.5","2.55","1.46","0.75","0.34"
