"Order","unique","Levantine_Sea_Autumn","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Actinomarinales","Actinomarinales","5.21","9.89","3.17","2.82","1.26"
"Alteromonadales","Alteromonadales","3.96","2.35","4.98","3.86","1"
"Balneolales","Balneolales","0","0","0","1.94","3.15"
"Betaproteobacteriales","Betaproteobacteriales","0.23","0.14","6.09","1.2","0.03"
"Cellvibrionales","Cellvibrionales","0.41","0.52","1","1.22","1.7"
"Chitinophagales","Chitinophagales","0.75","0.29","0.67","0.46","1.88"
"Cytophagales","Cytophagales","0.22","1.07","1.32","0.38","0.38"
"Desulfovibrionales","Desulfovibrionales","0.31","0.01","0","0.09","2.05"
"Flavobacteriales","Flavobacteriales","31.93","14.48","16.35","25.17","39.52"
"Oceanospirillales","Oceanospirillales","0.4","0.32","0.43","1.54","0.55"
"Other","Other","4.12","4.58","0.6","4.66","7.2"
"Pseudomonadales","Pseudomonadales","0.43","0.09","3.62","0.61","0.27"
"Puniceispirillales","Puniceispirillales","0.6","2.34","2.91","3.84","1.93"
"Rhodobacterales","Rhodobacterales","14.99","7.66","5.18","11.95","14.62"
"Rhodospirillales","Rhodospirillales","0.85","2.02","5.62","4.35","1.42"
"Rickettsiales","Rickettsiales","0.12","0.97","0.58","0.79","0.11"
"SAR11_clade","SAR11_clade","5.4","32.4","26.69","21.84","5.98"
"SAR86_clade","SAR86_clade","0.84","2.53","7.01","2.73","1.02"
"Sphingobacteriales","Sphingobacteriales","0.03","0.06","0","0.87","3.92"
"Synechococcales","Synechococcales","26.53","15.81","13.32","8.72","11.64"
"Vibrionales","Vibrionales","2.67","2.46","0.48","0.95","0.37"
