"Phylum","unique","Levantine_Sea_Autumn","North_Red_Sea_Autumn","North_Red_Sea_Spring","Northern_Crete_Autumn","Northern_Crete_Spring"
"Acidobacteria","Acidobacteria","0","0","0","0.03","0"
"Actinobacteria","Actinobacteria","5.37","9.96","3.17","3.01","1.32"
"Bacteroidetes","Bacteroidetes","33.32","16.04","18.36","29.11","50.11"
"Calditrichaeota","Calditrichaeota","0","0","0","0","0"
"Chloroflexi","Chloroflexi","0.15","0.1","0","0","0.01"
"Cyanobacteria","Cyanobacteria","26.53","16.11","13.32","8.73","11.65"
"Dadabacteria","Dadabacteria","0.07","0.92","0.05","0.01","0"
"Deferribacteres","Deferribacteres","0","0","0","0","0.19"
"Deinococcus-Thermus","Deinococcus-Thermus","0.12","0.03","0","0","0.01"
"Epsilonbacteraeota","Epsilonbacteraeota","0.07","0.09","0","0","0.03"
"Firmicutes","Firmicutes","0.23","0.09","0.06","0.13","1.44"
"Fusobacteria","Fusobacteria","0.22","0.11","0.08","0.1","0.44"
"Kiritimatiellaeota","Kiritimatiellaeota","0.02","0.06","0.09","0.27","0.12"
"Lentisphaerae","Lentisphaerae","0","0.03","0","0.05","0.01"
"Other","Other","0","0","0","0","0"
"Patescibacteria","Patescibacteria","0.03","0.01","0","0","0"
"Planctomycetes","Planctomycetes","0.15","0.25","0","0.1","0.05"
"Proteobacteria","Proteobacteria","33.06","55.94","64.83","57.38","33.53"
"Spirochaetes","Spirochaetes","0","0.01","0","0","0.01"
"Tenericutes","Tenericutes","0.03","0.01","0","0","0.27"
"Verrucomicrobia","Verrucomicrobia","0.64","0.23","0.04","1.05","0.8"
