"factor","df","Sum_sq","Mean_sq","F-value","p-value","data_type","rank","q","div_facet"
"Groups",2,0.003,0.001,0.268,0.766,"q0","Phylum","","q0"
"Residuals",37,0.183,0.005,NA,NA,"q0","Phylum","","q0"
"Groups",2,0.002,0.001,4.264,0.022,"q1","Phylum","","q1"
"Residuals",37,0.008,0,NA,NA,"q1","Phylum","","q1"
"Groups",2,0.013,0.007,3.438,0.043,"q0","Family","","q0"
"Residuals",37,0.072,0.002,NA,NA,"q0","Family","","q0"
"Groups",2,0.003,0.001,1.21,0.31,"q1","Family","","q1"
"Residuals",37,0.045,0.001,NA,NA,"q1","Family","","q1"
"Groups",2,0.02,0.01,1.976,0.153,"q0","ASV","","q0"
"Residuals",37,0.191,0.005,NA,NA,"q0","ASV","","q0"
"Groups",2,0.004,0.002,0.422,0.659,"q1","ASV","","q1"
"Residuals",37,0.164,0.004,NA,NA,"q1","ASV","","q1"
