"Phylum","Class","Order","Family","Genus","Taxa","Rank","Host","stat","p_value","p_value_corr"
"Bacteroidetes","Bacteroidia",NA,NA,NA,"Bacteroidia","Class","Siganus_luridus",15.2331,1e-04,0.0025
"Deferribacteres","Deferribacteres",NA,NA,NA,"Deferribacteres","Class","Siganus_luridus",1.5884,0.2076,0.3133
"Epsilonbacteraeota","Campylobacteria",NA,NA,NA,"Campylobacteria","Class","Siganus_luridus",5.7537,0.0165,0.0658
"Firmicutes","Clostridia",NA,NA,NA,"Clostridia","Class","Siganus_luridus",13.9901,2e-04,0.0025
"Firmicutes","Erysipelotrichia",NA,NA,NA,"Erysipelotrichia","Class","Siganus_luridus",4.2992,0.0381,0.0984
"Fusobacteria","Fusobacteriia",NA,NA,NA,"Fusobacteriia","Class","Siganus_luridus",0.4231,0.5154,0.6442
"Proteobacteria","Alphaproteobacteria",NA,NA,NA,"Alphaproteobacteria","Class","Siganus_luridus",3.9686,0.0464,0.1124
"Proteobacteria","Deltaproteobacteria",NA,NA,NA,"Deltaproteobacteria","Class","Siganus_luridus",4.643,0.0312,0.086
"Spirochaetes","Brachyspirae",NA,NA,NA,"Brachyspirae","Class","Siganus_luridus",3.9686,0.0464,0.1124
"Tenericutes","Mollicutes",NA,NA,NA,"Mollicutes","Class","Siganus_luridus",4.643,0.0312,0.086
"Verrucomicrobia","Verrucomicrobiae",NA,NA,NA,"Verrucomicrobiae","Class","Siganus_luridus",4.643,0.0312,0.086
"Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae",NA,"Marinifilaceae","Family","Siganus_luridus",0.8744,0.3497,0.4742
"Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae",NA,"Marinilabiliaceae","Family","Siganus_luridus",0.4777,0.4895,0.6216
"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae",NA,"Rikenellaceae","Family","Siganus_luridus",12.8,3e-04,0.004
"Bacteroidetes","Bacteroidia","Bacteroidales","Rs-E47_termite_group",NA,"Rs-E47_termite_group","Family","Siganus_luridus",0.0595,0.8073,0.8727
"Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae",NA,"Tannerellaceae","Family","Siganus_luridus",0.0595,0.8073,0.8727
"Deferribacteres","Deferribacteres","Deferribacterales","Deferribacteraceae",NA,"Deferribacteraceae","Family","Siganus_luridus",8.0992,0.0044,0.0253
"Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae",NA,"Arcobacteraceae","Family","Siganus_luridus",7.4198,0.0065,0.0323
"Firmicutes","Clostridia","Clostridiales","Christensenellaceae",NA,"Christensenellaceae","Family","Siganus_luridus",0.0017,0.9676,0.9676
"Firmicutes","Clostridia","Clostridiales","Family_XI",NA,"Family_XI","Family","Siganus_luridus",0.6612,0.4162,0.5458
"Firmicutes","Clostridia","Clostridiales","Family_XIII",NA,"Family_XIII","Family","Siganus_luridus",0.2,0.6547,0.7703
"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae",NA,"Lachnospiraceae","Family","Siganus_luridus",12.5107,4e-04,0.004
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae",NA,"Ruminococcaceae","Family","Siganus_luridus",7.643,0.0057,0.0304
"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae",NA,"Erysipelotrichaceae","Family","Siganus_luridus",1.0331,0.3094,0.4421
"Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae",NA,"Fusobacteriaceae","Family","Siganus_luridus",0.0149,0.9029,0.9261
"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,"Rhodobacteraceae","Family","Siganus_luridus",0.0595,0.8073,0.8727
"Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae",NA,"Desulfovibrionaceae","Family","Siganus_luridus",10.5785,0.0011,0.0083
"Spirochaetes","Brachyspirae","Brachyspirales","Brachyspiraceae",NA,"Brachyspiraceae","Family","Siganus_luridus",0.0595,0.8073,0.8727
"Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae",NA,"Anaeroplasmataceae","Family","Siganus_luridus",0.7289,0.3932,0.5243
"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae",NA,"Akkermansiaceae","Family","Siganus_luridus",8.0992,0.0044,0.0253
"Bacteroidetes","Bacteroidia","Bacteroidales","Marinifilaceae","Odoribacter","Odoribacter","Genus","Siganus_luridus",0.0149,0.9029,0.9261
"Bacteroidetes","Bacteroidia","Bacteroidales","Marinilabiliaceae","Labilibacter","Labilibacter","Genus","Siganus_luridus",0.1339,0.7144,0.8283
"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes","Genus","Siganus_luridus",5.3702,0.0205,0.0745
"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","dgA-11_gut_group","dgA-11_gut_group","Genus","Siganus_luridus",0.2793,0.5971,0.7238
"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenella","Rikenella","Genus","Siganus_luridus",1.6926,0.1933,0.3032
"Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae_RC9_gut_group","Rikenellaceae_RC9_gut_group","Genus","Siganus_luridus",3.8083,0.051,0.12
"Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides","Macellibacteroides","Genus","Siganus_luridus",2.0248,0.1547,0.2527
"Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter","Arcobacter","Genus","Siganus_luridus",8.8083,0.003,0.02
"Firmicutes","Clostridia","Clostridiales","Christensenellaceae","Christensenella","Christensenella","Genus","Siganus_luridus",0.5355,0.4643,0.5991
"Firmicutes","Clostridia","Clostridiales","Family_XI","Sedimentibacter","Sedimentibacter","Genus","Siganus_luridus",0.081,0.776,0.8727
"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Bacteroides","Bacteroides","Genus","Siganus_luridus",0.0413,0.8389,0.8948
"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Epulopiscium","Epulopiscium","Genus","Siganus_luridus",2.0248,0.1547,0.2527
"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Faecalicatena","Faecalicatena","Genus","Siganus_luridus",1.8,0.1797,0.2875
"Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella","Tyzzerella","Genus","Siganus_luridus",0.2793,0.5971,0.7238
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Clostridium","Clostridium","Genus","Siganus_luridus",2.3868,0.1224,0.2447
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Faecalibacterium","Faecalibacterium","Genus","Siganus_luridus",3.2,0.0736,0.1636
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Flavonifractor","Flavonifractor","Genus","Siganus_luridus",2.0248,0.1547,0.2527
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Neglecta","Neglecta","Genus","Siganus_luridus",0.9521,0.3292,0.4541
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Paludicola","Paludicola","Genus","Siganus_luridus",2.0248,0.1547,0.2527
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014","Ruminococcaceae_UCG-014","Genus","Siganus_luridus",11.114,9e-04,0.0069
"Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruthenibacterium","Ruthenibacterium","Genus","Siganus_luridus",2.514,0.1128,0.2315
"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Breznakia","Breznakia","Genus","Siganus_luridus",2.0248,0.1547,0.2527
"Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Coprobacillus","Coprobacillus","Genus","Siganus_luridus",0.0149,0.9029,0.9261
"Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium","Genus","Siganus_luridus",1.0331,0.3094,0.4421
"Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Maritimibacter","Maritimibacter","Genus","Siganus_luridus",2.0248,0.1547,0.2527
"Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio","Genus","Siganus_luridus",5.9504,0.0147,0.0654
"Spirochaetes","Brachyspirae","Brachyspirales","Brachyspiraceae","Brachyspira","Brachyspira","Genus","Siganus_luridus",2.0248,0.1547,0.2527
"Tenericutes","Mollicutes","Anaeroplasmatales","Anaeroplasmataceae","Anaeroplasma","Anaeroplasma","Genus","Siganus_luridus",0.0017,0.9676,0.9676
"Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia","Genus","Siganus_luridus",12.2248,5e-04,0.0042
"Bacteroidetes","Bacteroidia","Bacteroidales",NA,NA,"Bacteroidales","Order","Siganus_luridus",13.9901,2e-04,0.0025
"Deferribacteres","Deferribacteres","Deferribacterales",NA,NA,"Deferribacterales","Order","Siganus_luridus",3.0562,0.0804,0.1739
"Epsilonbacteraeota","Campylobacteria","Campylobacterales",NA,NA,"Campylobacterales","Order","Siganus_luridus",6.3537,0.0117,0.0551
