"data_type","compartment","rank","q","F.value","p.value","merged_col","avg_Levantine_Sea","avg_Northern_Crete","avg_North_Red_Sea","sd_Levantine_Sea","sd_Northern_Crete","sd_North_Red_Sea"
"phylo_q0","s_luridus","ASV","q0",2.375,0.134,"ASV_phylo_q0_s_luridus",NA,0.174805104715678,0.225181573096191,NA,0.07017384744415,0.113984127169307
"phylo_q0","s_luridus","Family","q0",3.965,0.056,"Family_phylo_q0_s_luridus",NA,0.0892645409608207,0.123658843446863,NA,0.0502036120188275,0.0309250255257392
"phylo_q0","s_luridus","Phylum","q0",0.695,0.411,"Phylum_phylo_q0_s_luridus",NA,0.0552468787134076,0.0662638253794968,NA,0.0395818553619978,0.0186050181186027
"phylo_q0","s_rivulatus","ASV","q0",47.887,0,"ASV_phylo_q0_s_rivulatus",0.247699024100372,0.174103245967183,0.320673498254382,0.0723705363287195,0.0638487327166511,0.0691780022385774
"phylo_q0","s_rivulatus","Family","q0",32.984,0,"Family_phylo_q0_s_rivulatus",0.0762134349626073,0.0504638020487092,0.155211386089411,0.0546288604996316,0.0366045965939779,0.0859320147881851
"phylo_q0","s_rivulatus","Phylum","q0",45.827,0,"Phylum_phylo_q0_s_rivulatus",0.0673016877764512,0.0272579790938982,0.127018081728391,0.0451232182813481,0.024376193533981,0.0698753729135538
"phylo_q1","s_luridus","ASV","q1",5.49,0.026,"ASV_phylo_q1_s_luridus",NA,0.0865558273519289,0.136182658828516,NA,0.0418467236506143,0.078702931776965
"phylo_q1","s_luridus","Family","q1",2.712,0.11,"Family_phylo_q1_s_luridus",NA,0.0546901703201349,0.0877212504911775,NA,0.0390527889773198,0.075232614741595
"phylo_q1","s_luridus","Phylum","q1",1.977,0.17,"Phylum_phylo_q1_s_luridus",NA,0.0491677590789247,0.0733304311339942,NA,0.036977687011567,0.0598003427798175
"phylo_q1","s_rivulatus","ASV","q1",27.144,0,"ASV_phylo_q1_s_rivulatus",0.103097134457697,0.083243663893181,0.223204745392656,0.0816254755262801,0.0569967947755707,0.129751386313097
"phylo_q1","s_rivulatus","Family","q1",25.9,0,"Family_phylo_q1_s_rivulatus",0.0721592837607826,0.0558240766996471,0.179250391491718,0.0740520543396053,0.0523697962712697,0.116884579599865
