"rank","compartment","num_signif","avg_p","avg_f"
"ASV","algae",2,0.0035,9.2985
"ASV","sediment",0,0.2155,1.6075
"ASV","turf",2,0,11.8475
"ASV","water",0,0.406,1.199
"ASV","s_luridus",2,0.072,3.99875
"ASV","s_rivulatus",4,0,43.22325
"Family","algae",2,0.0135,6.58
"Family","sediment",1,0.481,9.7255
"Family","turf",2,0.001,8.541
"Family","water",1,0.1765,2.324
"Family","s_luridus",0,0.07425,3.50975
"Family","s_rivulatus",4,0,26.70275
"Phylum","algae",1,0.3685,2.7635
"Phylum","sediment",0,0.197,2.025
"Phylum","turf",1,0.117,4.284
"Phylum","water",1,0.394,2.266
"Phylum","s_luridus",0,0.25375,1.49375
"Phylum","s_rivulatus",4,0,33.38225
